monat,jahr,meldestelle_code,tarifverbund_id,angebot_gruppe,umsatz_eur
10,2025,MS-MUC-001,5,110,12598.82
10,2025,MS-HAM-007,1,100,22417.64
2,2024,MS-LEJ-004,15,210,27256.28
7,2024,MS-FRA-001,2,130,34120.01
10,2024,MS-HAJ-006,13,130,28214.99
2,2025,MS-DUS-004,7,210,33795.13
6,2025,MS-HAJ-003,12,120,25910.53
11,2025,MS-BRE-003,12,120,31910.95
9,2025,MS-MUC-002,13,100,23620.35
8,2024,MS-CGN-003,3,120,14574.22
10,2024,MS-BRE-001,6,130,21022.63
5,2025,MS-DUI-006,7,100,10608.44
12,2025,MS-DUS-003,18,130,3143.54
8,2024,MS-BER-001,9,200,7644.31
11,2025,MS-DUS-001,4,100,16756.45
5,2025,MS-DUI-005,9,100,4730.42
7,2024,MS-HAM-004,14,100,16384.13
2,2024,MS-BER-004,2,210,24806.22
3,2024,MS-NUE-001,7,210,15672.7
6,2024,MS-LEJ-006,6,100,5421.63
6,2024,MS-LEJ-005,5,210,2374.65
12,2024,MS-HAJ-003,19,210,12445.68
6,2024,MS-DUS-002,3,110,33036.87
6,2025,MS-HAJ-006,15,100,5721.11
1,2025,MS-MUC-001,5,110,23376.86
8,2024,MS-HAM-004,8,110,1281.52
5,2024,MS-LEJ-003,13,210,34447.0
3,2024,MS-DUI-006,13,110,3074.61
6,2024,MS-LEJ-004,19,130,3984.63
12,2025,MS-HAM-003,14,110,14910.83
2,2024,MS-DUS-001,12,210,13783.31
12,2025,MS-DRS-001,11,100,6322.39
2,2025,MS-ESS-003,17,130,4227.44
2,2025,MS-STR-002,10,130,2860.19
11,2025,MS-HAM-005,7,130,31627.13
8,2025,MS-DUS-004,9,200,27171.5
4,2025,MS-BRE-003,18,130,23244.37
6,2025,MS-DUI-002,4,100,17011.93
4,2025,MS-NUE-005,3,100,17269.29
11,2024,MS-FRA-006,18,200,18040.39
1,2025,MS-FRA-002,12,200,13820.27
4,2025,MS-NUE-001,1,200,28374.41
8,2024,MS-STR-002,5,100,996.06
4,2025,MS-DRS-004,15,120,6470.24
5,2025,MS-STR-003,11,130,34650.61
8,2024,MS-HAJ-003,19,120,2458.79
8,2024,MS-NUE-006,8,100,29117.44
10,2025,MS-LEJ-003,10,110,19447.82
4,2025,MS-FRA-005,10,210,13451.37
5,2024,MS-LEJ-005,9,120,4831.1
3,2025,MS-CGN-003,8,100,32367.15
1,2024,MS-DUS-002,1,100,22524.54
3,2024,MS-DUI-005,9,200,14837.85
6,2024,MS-BER-003,10,200,12879.02
11,2025,MS-DUS-003,2,110,26584.44
8,2024,MS-BER-005,7,210,22325.32
4,2024,MS-LEJ-007,3,110,13646.78
7,2024,MS-FRA-007,19,200,8609.96
12,2025,MS-FRA-002,10,200,3355.63
1,2024,MS-NUE-004,20,120,9816.16
4,2024,MS-LEJ-001,5,130,4843.35
9,2024,MS-NUE-006,17,100,1104.33
1,2025,MS-BER-005,2,210,33700.76
12,2024,MS-DUI-003,16,130,12075.79
2,2025,MS-BER-007,12,100,6987.86
12,2025,MS-HAM-004,3,100,26165.36
9,2024,MS-HAJ-001,18,210,5377.05
9,2024,MS-DTM-005,11,120,29336.32
7,2025,MS-HAJ-003,9,130,34270.8
6,2025,MS-BER-005,13,110,10159.6
1,2025,MS-DUI-001,9,120,10795.58
5,2025,MS-BER-007,16,130,15046.68
5,2025,MS-MUC-001,2,130,4701.7
1,2024,MS-HAJ-004,10,100,24808.46
3,2024,MS-BER-005,8,210,19151.53
8,2025,MS-FRA-005,18,210,10935.74
9,2024,MS-DTM-002,13,100,5413.87
10,2024,MS-HAM-007,17,110,10823.74
11,2025,MS-HAM-006,10,210,1666.96
6,2025,MS-STR-002,10,100,6209.71
7,2024,MS-LEJ-003,16,210,8010.51
8,2025,MS-NUE-001,12,100,11087.91
5,2025,MS-DUS-003,8,100,26213.35
12,2025,MS-ESS-004,9,110,8237.15
3,2025,MS-HAJ-004,1,100,25179.49
1,2025,MS-ESS-001,6,200,9289.57
11,2024,MS-HAM-005,4,120,26961.27
1,2025,MS-DRS-002,20,100,23352.69
9,2025,MS-HAM-007,7,200,18374.59
10,2024,MS-HAJ-004,3,210,722.54
1,2025,MS-DTM-001,9,210,32005.23
10,2025,MS-FRA-007,17,120,2333.94
9,2024,MS-HAM-002,9,200,13512.11
5,2025,MS-ESS-004,7,110,25732.51
12,2024,MS-DTM-003,19,130,25711.18
4,2024,MS-FRA-003,10,110,27953.41
2,2024,MS-HAJ-003,6,210,26051.46
11,2025,MS-HAM-007,9,200,14280.82
1,2025,MS-MUC-005,6,200,9544.41
1,2024,MS-CGN-001,5,100,25912.1
3,2025,MS-HAJ-006,15,120,23474.8
4,2025,MS-ESS-002,18,130,29749.7
2,2024,MS-STR-002,4,200,22580.63
12,2024,MS-NUE-004,2,210,16987.1
9,2025,MS-BER-007,19,200,18956.45
10,2025,MS-HAJ-005,12,120,2927.1
4,2025,MS-FRA-001,7,120,22815.51
2,2025,MS-FRA-004,17,130,4549.5
11,2025,MS-DTM-003,14,120,2733.02
11,2024,MS-DUI-006,9,110,14337.31
11,2024,MS-BRE-001,4,200,31336.91
12,2025,MS-FRA-007,9,200,34600.88
1,2024,MS-ESS-003,17,120,16213.11
9,2024,MS-ESS-001,10,210,3010.96
5,2024,MS-DUS-001,16,200,19659.86
4,2025,MS-BER-007,1,210,27888.68
12,2025,MS-BER-003,15,210,28115.16
4,2025,MS-DTM-004,7,110,9326.51
10,2025,MS-CGN-001,19,210,25826.83
11,2025,MS-DRS-004,20,130,19394.22
3,2024,MS-NUE-004,13,100,2416.57
3,2025,MS-CGN-003,6,120,13815.99
7,2025,MS-HAJ-002,16,120,3194.26
12,2025,MS-LEJ-006,8,100,8888.07
8,2024,MS-CGN-001,4,100,15176.8
12,2025,MS-DUS-002,6,100,14819.4
2,2025,MS-BRE-003,14,100,587.75
11,2024,MS-DTM-001,2,210,18903.32
10,2024,MS-FRA-003,14,210,14134.7
7,2025,MS-LEJ-004,5,130,31320.58
12,2025,MS-DTM-005,18,200,29661.54
11,2024,MS-DRS-004,4,100,7649.23
9,2025,MS-DUS-001,12,110,33352.5
11,2025,MS-NUE-005,16,110,10362.37
5,2025,MS-BER-002,9,130,3374.89
10,2025,MS-MUC-004,19,100,5314.25
4,2024,MS-ESS-002,17,200,34650.65
5,2024,MS-FRA-005,5,100,31371.27
12,2024,MS-STR-005,14,200,30150.09
1,2024,MS-DUI-001,17,200,33360.69
6,2025,MS-BRE-002,16,110,7268.71
11,2025,MS-LEJ-001,19,200,23981.18
12,2024,MS-DRS-005,4,210,16464.41
5,2024,MS-DRS-001,14,200,8548.59
1,2025,MS-CGN-001,1,100,28615.5
3,2025,MS-DUI-002,11,130,28136.28
3,2025,MS-LEJ-004,6,120,27691.81
9,2025,MS-BRE-002,4,110,10116.82
2,2025,MS-DTM-003,10,100,540.14
9,2024,MS-HAJ-004,1,100,10526.64
2,2025,MS-NUE-001,6,120,12852.99
7,2024,MS-DRS-003,16,110,5951.25
4,2024,MS-NUE-006,1,130,20025.45
11,2025,MS-CGN-002,6,110,3745.67
3,2024,MS-DTM-003,3,110,19497.5
8,2024,MS-BER-003,15,200,28366.2
4,2024,MS-HAM-001,6,110,10092.65
8,2024,MS-NUE-005,7,100,14115.76
12,2024,MS-MUC-005,9,100,33417.08
9,2024,MS-HAM-005,9,130,27290.8
12,2025,MS-HAM-002,12,110,8600.14
12,2024,MS-HAJ-003,1,210,24582.32
2,2024,MS-MUC-003,9,110,18757.42
2,2024,MS-DRS-001,13,200,7590.95
1,2025,MS-CGN-001,15,200,9148.02
10,2024,MS-MUC-005,19,110,7854.89
10,2024,MS-DRS-001,10,120,23891.3
6,2024,MS-ESS-002,1,210,29405.43
3,2025,MS-DUI-002,10,110,29308.63
5,2024,MS-HAJ-001,14,110,8568.37
2,2024,MS-CGN-003,1,120,4750.99
5,2025,MS-NUE-006,17,120,5038.76
9,2025,MS-NUE-004,12,130,2967.0
3,2024,MS-DRS-001,7,200,17071.76
5,2025,MS-DTM-005,4,130,17247.36
12,2025,MS-BER-003,12,210,4476.33
10,2024,MS-BRE-003,2,100,8047.7
6,2024,MS-BER-004,18,210,32971.66
7,2024,MS-CGN-002,15,110,32969.69
5,2025,MS-HAM-003,6,130,27060.1
3,2024,MS-CGN-003,7,120,32728.7
3,2024,MS-MUC-005,7,100,20712.14
11,2025,MS-HAM-001,3,210,6789.04
2,2024,MS-STR-002,7,120,4921.09
8,2024,MS-STR-004,8,130,25322.67
3,2024,MS-FRA-004,19,200,31017.49
1,2025,MS-BER-003,13,130,5451.97
4,2025,MS-NUE-006,16,210,6313.94
3,2025,MS-FRA-002,15,200,7029.51
12,2025,MS-BRE-001,6,210,21984.87
6,2025,MS-CGN-001,6,130,17058.8
2,2025,MS-DUS-003,8,210,14224.35
11,2024,MS-DUI-001,7,120,16474.66
1,2025,MS-FRA-004,5,200,19108.4
5,2024,MS-DUS-004,14,120,15434.28
9,2025,MS-STR-002,13,210,34673.69
1,2024,MS-NUE-002,20,210,10655.74
7,2025,MS-HAM-007,5,210,4667.89
8,2024,MS-DTM-005,16,200,2710.89
7,2024,MS-BRE-001,4,130,2642.68
7,2024,MS-STR-002,12,110,1536.76
11,2025,MS-BRE-002,12,210,5907.31
9,2025,MS-FRA-001,18,100,16420.76
4,2025,MS-ESS-003,20,120,18101.36
2,2025,MS-LEJ-002,18,110,2683.66
9,2024,MS-ESS-003,4,130,15454.11
9,2024,MS-STR-005,19,200,8426.56
4,2024,MS-DTM-001,12,130,29435.74
9,2024,MS-HAM-007,16,130,11404.52
5,2024,MS-FRA-005,8,130,10285.5
10,2025,MS-DUI-001,9,120,13015.0
1,2024,MS-DUI-001,12,110,22275.15
2,2025,MS-STR-002,18,100,28907.94
7,2025,MS-STR-002,9,130,10001.55
9,2024,MS-CGN-001,18,210,17767.71
10,2025,MS-DUI-004,16,200,13123.97
6,2025,MS-DTM-003,1,120,33271.72
6,2024,MS-NUE-003,16,210,21229.1
5,2024,MS-HAJ-003,2,130,1867.81
8,2025,MS-DUI-003,6,120,24945.86
10,2024,MS-MUC-003,7,100,19649.99
6,2024,MS-DUI-003,2,120,32865.2
1,2025,MS-HAJ-003,19,120,27873.86
4,2025,MS-STR-005,16,120,31710.9
10,2025,MS-HAJ-001,19,130,18290.24
9,2025,MS-BRE-001,5,120,11664.27
2,2024,MS-DUS-004,2,200,4535.28
2,2025,MS-DUS-001,16,110,15691.19
10,2024,MS-FRA-004,19,120,9664.13
6,2024,MS-FRA-004,8,130,5342.26
8,2025,MS-DRS-003,11,100,15560.21
11,2025,MS-DUI-005,7,110,24964.61
6,2025,MS-STR-005,19,100,9359.09
12,2024,MS-NUE-002,10,120,17986.13
3,2025,MS-FRA-004,19,100,7287.83
8,2025,MS-BRE-003,10,110,9343.66
11,2024,MS-DUS-001,13,130,2965.31
2,2024,MS-BRE-002,10,120,6353.38
4,2025,MS-ESS-002,5,210,31974.97
2,2024,MS-FRA-007,7,120,25008.94
12,2024,MS-LEJ-003,19,120,31124.43
6,2025,MS-NUE-005,10,120,13062.23
5,2024,MS-BER-004,4,130,16097.22
8,2025,MS-LEJ-001,5,100,683.3
10,2025,MS-DUI-004,9,210,30980.97
6,2024,MS-MUC-003,20,200,6028.05
5,2025,MS-BER-007,18,210,9140.4
12,2024,MS-NUE-002,13,130,5829.9
11,2024,MS-FRA-006,1,120,24346.33
7,2025,MS-ESS-004,18,210,17616.57
5,2025,MS-BRE-003,14,200,11284.07
10,2024,MS-STR-002,5,200,19485.67
4,2025,MS-FRA-002,15,110,34596.26
11,2024,MS-CGN-002,20,200,6002.08
9,2024,MS-BER-001,9,100,14534.25
8,2024,MS-LEJ-006,20,130,655.85
4,2025,MS-CGN-003,19,120,14054.3
6,2025,MS-NUE-004,9,200,8049.22
12,2025,MS-DUS-003,8,130,5793.45
5,2024,MS-MUC-002,16,110,5546.39
9,2024,MS-STR-002,1,120,18243.24
8,2025,MS-HAJ-006,5,200,17826.41
8,2024,MS-NUE-003,8,200,22375.56
5,2024,MS-DUI-001,13,110,8738.15
11,2025,MS-BER-002,6,100,13597.06
7,2025,MS-DRS-001,4,200,9111.79
10,2024,MS-NUE-001,14,110,10913.08
10,2024,MS-FRA-002,6,200,29237.46
4,2025,MS-MUC-003,6,210,30194.25
2,2024,MS-DTM-003,5,110,31334.04
12,2025,MS-HAJ-001,17,100,10323.5
9,2024,MS-HAM-001,6,100,13195.1
1,2025,MS-DTM-005,17,110,17579.0
5,2024,MS-BER-002,9,100,25786.63
12,2025,MS-DUI-002,2,120,14443.22
9,2024,MS-BER-003,10,100,1116.32
6,2025,MS-FRA-002,12,110,14625.69
7,2025,MS-HAM-001,13,130,21346.84
9,2025,MS-NUE-003,17,110,9089.4
9,2025,MS-BER-002,19,130,25275.91
4,2025,MS-BER-001,19,120,26348.17
6,2025,MS-DTM-004,2,210,7438.97
11,2025,MS-DTM-001,16,200,20529.14
4,2024,MS-STR-001,20,100,754.79
7,2025,MS-CGN-002,17,130,20201.55
1,2024,MS-DTM-005,1,130,32625.82
6,2024,MS-HAJ-003,16,130,13769.79
2,2024,MS-BRE-002,3,210,21500.45
5,2025,MS-BER-007,12,110,17379.78
1,2025,MS-STR-004,3,120,4450.37
2,2025,MS-FRA-001,11,110,34879.57
1,2025,MS-DTM-003,15,200,21202.17
12,2025,MS-MUC-002,6,100,24648.03
9,2025,MS-NUE-002,11,100,9825.75
12,2025,MS-NUE-005,11,130,2065.07
1,2025,MS-DRS-005,8,130,15657.55
2,2024,MS-HAJ-003,18,110,22799.86
1,2024,MS-DTM-003,4,110,13415.68
3,2024,MS-MUC-004,1,130,22552.37
11,2025,MS-HAM-007,15,110,16925.11
5,2024,MS-STR-004,6,100,10459.92
3,2024,MS-BER-006,20,110,2709.12
12,2024,MS-MUC-003,17,110,25146.26
4,2025,MS-LEJ-001,11,130,29065.74
12,2025,MS-DTM-003,9,110,34892.81
3,2025,MS-DUI-003,11,120,2710.46
6,2024,MS-FRA-001,4,210,3273.0
12,2024,MS-LEJ-004,19,130,25180.32
7,2024,MS-LEJ-005,12,120,621.98
1,2024,MS-DUS-002,7,200,14117.01
3,2025,MS-LEJ-006,17,120,3426.36
12,2025,MS-BER-004,11,110,21783.24
10,2024,MS-BER-001,12,200,26562.35
4,2024,MS-LEJ-006,19,120,14925.38
7,2025,MS-ESS-001,14,130,14149.77
1,2024,MS-NUE-003,1,110,32602.05
4,2025,MS-DRS-003,7,100,30180.81
7,2025,MS-DUI-005,17,130,11322.86
12,2024,MS-DTM-002,13,120,33784.01
12,2024,MS-LEJ-004,6,120,25109.2
1,2024,MS-DUS-001,18,110,26705.07
2,2024,MS-DRS-002,10,120,11002.45
7,2025,MS-FRA-001,14,120,31813.68
4,2025,MS-BER-001,4,110,7675.52
12,2024,MS-DUI-005,19,120,22092.19
7,2025,MS-CGN-002,13,200,16899.85
6,2025,MS-FRA-005,13,100,14631.86
11,2025,MS-MUC-004,4,200,17154.72
12,2025,MS-HAJ-003,17,130,23182.67
12,2024,MS-CGN-003,12,100,22595.25
4,2024,MS-STR-001,20,200,20733.28
3,2025,MS-HAJ-002,2,200,31040.51
2,2025,MS-LEJ-002,18,120,2637.32
11,2025,MS-HAM-003,12,130,24049.19
4,2025,MS-ESS-003,14,100,28558.89
7,2024,MS-MUC-005,18,110,27306.49
1,2024,MS-LEJ-004,11,100,4251.54
12,2024,MS-FRA-007,4,120,33203.85
11,2024,MS-DRS-003,12,210,20729.25
2,2025,MS-CGN-001,14,120,34897.97
1,2025,MS-BRE-003,19,200,6287.71
11,2024,MS-BRE-001,7,110,3787.09
7,2024,MS-DRS-005,20,110,14917.12
1,2024,MS-DRS-001,3,110,3064.84
11,2024,MS-HAJ-005,15,100,27255.65
1,2025,MS-HAJ-005,8,200,16303.81
12,2024,MS-DTM-005,7,210,34531.03
9,2025,MS-DRS-001,4,110,11130.97
12,2024,MS-NUE-001,7,200,16610.41
11,2025,MS-DRS-002,3,110,25251.03
6,2025,MS-MUC-005,5,120,28119.55
12,2025,MS-DTM-004,1,100,30017.06
5,2025,MS-DUS-002,20,100,10345.75
4,2024,MS-DUS-002,15,100,30751.12
6,2024,MS-DRS-003,9,100,27244.14
11,2024,MS-FRA-001,3,210,12442.45
1,2025,MS-DUI-002,18,130,9416.17
9,2024,MS-MUC-004,14,100,21454.46
6,2024,MS-MUC-005,14,200,29457.47
5,2024,MS-NUE-003,17,130,3124.43
7,2024,MS-DUI-002,11,210,29140.27
6,2024,MS-HAM-003,10,130,12494.12
11,2024,MS-LEJ-004,20,130,8701.79
8,2025,MS-DRS-003,4,200,3487.56
12,2024,MS-LEJ-002,4,110,3601.08
9,2025,MS-STR-002,9,110,7925.08
10,2024,MS-BRE-002,14,210,1979.56
11,2025,MS-HAJ-004,16,210,10888.12
6,2025,MS-STR-003,4,100,1489.75
10,2024,MS-BER-001,7,130,14083.93
1,2025,MS-DRS-005,10,100,21796.33
9,2024,MS-BRE-003,15,110,4750.42
10,2025,MS-NUE-002,15,200,29352.15
2,2024,MS-FRA-006,6,130,29246.49
11,2025,MS-NUE-003,6,100,1625.32
3,2025,MS-LEJ-006,3,110,13767.8
1,2025,MS-HAJ-003,20,110,24006.06
3,2024,MS-LEJ-005,6,120,32761.06
3,2025,MS-DTM-002,19,120,28916.21
7,2024,MS-DUI-004,12,110,884.72
11,2024,MS-FRA-006,7,100,23838.32
2,2025,MS-STR-001,19,110,18191.8
4,2024,MS-DRS-002,19,130,26611.79
6,2024,MS-DTM-001,19,100,26751.5
6,2025,MS-MUC-001,9,210,33321.59
5,2025,MS-DTM-001,11,210,7609.29
1,2025,MS-HAM-001,14,130,16280.85
4,2024,MS-BER-001,13,130,13105.27
7,2025,MS-FRA-002,3,110,13625.83
8,2024,MS-HAM-004,13,120,1139.39
5,2024,MS-NUE-004,15,210,26078.41
6,2024,MS-DRS-003,1,100,28354.37
8,2024,MS-HAM-002,4,130,25929.21
8,2024,MS-DUS-002,4,200,15637.83
2,2025,MS-DUS-002,18,130,25719.15
5,2024,MS-BRE-001,1,100,2209.72
6,2025,MS-HAJ-001,12,110,3084.31
11,2025,MS-STR-002,1,210,28776.31
2,2025,MS-HAM-007,2,130,11966.68
9,2024,MS-ESS-002,5,130,33728.14
9,2024,MS-FRA-002,17,200,17347.59
9,2025,MS-LEJ-001,11,100,25620.96
12,2024,MS-DUS-001,10,200,10095.82
1,2025,MS-DUI-002,7,120,14444.52
5,2025,MS-DUS-001,17,120,24545.32
10,2025,MS-BER-001,20,110,22963.1
11,2025,MS-STR-003,13,130,6453.77
8,2025,MS-BER-003,9,110,16085.23
8,2025,MS-MUC-002,3,110,31727.53
7,2024,MS-MUC-001,7,100,13798.09
4,2024,MS-DUI-003,19,100,28099.15
9,2025,MS-LEJ-001,11,130,13731.79
3,2025,MS-BER-005,1,130,24867.64
1,2024,MS-HAJ-003,3,110,8993.23
5,2024,MS-MUC-001,5,120,10337.7
1,2025,MS-HAM-006,7,110,33774.04
11,2025,MS-FRA-003,13,200,3944.77
10,2024,MS-NUE-001,16,130,28857.0
5,2025,MS-NUE-005,14,130,3362.14
8,2025,MS-HAM-005,5,120,29864.34
12,2024,MS-NUE-006,8,130,2577.1
10,2024,MS-HAM-007,3,100,14555.92
4,2025,MS-DRS-004,16,120,10282.14
9,2024,MS-DTM-001,2,130,4138.49
12,2024,MS-FRA-002,17,110,20336.28
8,2025,MS-BRE-003,12,210,28801.38
3,2025,MS-DUI-004,18,120,31055.07
8,2024,MS-MUC-001,10,200,24792.75
9,2024,MS-DUI-004,4,130,5970.12
3,2025,MS-DUI-003,8,200,23758.81
11,2024,MS-HAM-006,10,100,25737.89
5,2024,MS-LEJ-003,18,130,4208.05
7,2025,MS-HAM-005,5,110,712.54
7,2025,MS-DRS-001,3,120,13177.0
7,2025,MS-ESS-001,1,120,34634.28
8,2025,MS-LEJ-003,12,120,1755.66
1,2025,MS-ESS-001,15,110,8001.75
8,2025,MS-DTM-002,18,110,550.44
10,2024,MS-BER-002,16,130,17094.32
12,2025,MS-BRE-002,6,110,11673.97
11,2024,MS-HAJ-004,6,210,24554.5
5,2024,MS-NUE-002,18,120,27757.97
10,2024,MS-DTM-003,6,130,16371.39
4,2024,MS-HAM-003,12,100,25404.6
8,2025,MS-HAJ-003,18,110,8711.68
6,2025,MS-HAM-003,8,120,7357.29
6,2025,MS-DUI-002,5,110,12604.83
1,2025,MS-FRA-007,17,100,21569.04
9,2025,MS-DRS-003,17,120,2666.24
11,2025,MS-ESS-004,8,210,17791.82
3,2025,MS-HAJ-004,7,200,13614.62
5,2025,MS-DRS-003,1,210,20683.48
4,2025,MS-LEJ-007,15,200,9268.29
10,2024,MS-DTM-004,19,120,25620.6
3,2025,MS-MUC-005,8,100,10903.54
9,2024,MS-HAM-002,15,110,5236.16
9,2025,MS-HAM-001,7,210,20508.22
3,2025,MS-DRS-005,17,100,21547.05
4,2024,MS-LEJ-006,10,200,12127.43
8,2024,MS-DTM-003,16,200,9420.87
2,2024,MS-FRA-005,13,130,5109.72
7,2024,MS-FRA-006,7,130,28031.33
7,2025,MS-BER-005,6,130,12252.8
12,2025,MS-ESS-002,9,110,12612.22
11,2024,MS-HAJ-002,19,200,1382.99
4,2025,MS-BER-005,18,210,33628.01
7,2024,MS-DUI-003,11,130,32124.06
3,2025,MS-FRA-005,1,130,31743.34
6,2025,MS-DUI-004,17,110,2135.12
2,2025,MS-MUC-004,6,100,14331.17
1,2025,MS-DRS-001,18,100,12464.41
2,2024,MS-HAJ-006,4,130,21097.03
8,2025,MS-DTM-005,5,210,34336.25
11,2025,MS-DRS-001,10,130,30136.6
2,2025,MS-ESS-003,15,120,32931.58
9,2024,MS-LEJ-003,13,110,3369.27
9,2025,MS-DUI-004,12,200,29670.38
4,2025,MS-LEJ-006,4,100,8992.37
5,2025,MS-NUE-003,15,100,13968.65
6,2025,MS-LEJ-005,20,100,29173.28
1,2024,MS-DTM-005,7,110,4539.85
5,2025,MS-BER-002,2,130,28794.28
6,2025,MS-HAJ-004,19,100,10538.88
7,2025,MS-ESS-004,3,200,518.69
8,2024,MS-DUS-002,19,200,22519.07
9,2024,MS-FRA-003,15,200,15946.84
8,2025,MS-BER-004,17,120,17084.78
10,2025,MS-DRS-001,15,210,29652.61
5,2024,MS-MUC-005,12,210,5854.89
10,2025,MS-LEJ-001,19,210,31931.07
4,2025,MS-DUS-004,4,100,16619.31
5,2025,MS-FRA-007,2,110,28560.4
1,2024,MS-NUE-003,4,210,9496.25
9,2024,MS-DUS-002,4,200,14358.81
3,2025,MS-MUC-005,7,120,20764.33
1,2025,MS-ESS-002,7,210,29481.27
12,2025,MS-CGN-002,10,200,22012.96
5,2025,MS-HAJ-004,6,200,10480.33
2,2025,MS-CGN-001,14,110,34787.81
3,2025,MS-LEJ-007,15,110,9727.32
2,2025,MS-DUS-004,1,200,6953.57
7,2025,MS-STR-003,3,200,29816.84
10,2024,MS-BER-001,4,120,27324.71
1,2025,MS-HAM-002,10,100,4045.22
12,2024,MS-DTM-004,2,110,1970.21
12,2024,MS-LEJ-004,9,130,29062.8
8,2024,MS-STR-003,4,210,7408.53
10,2024,MS-DUI-005,10,210,24317.35
