jahr,monat,tarifverbund_id,angebot_gruppe,bundesland_code2,anteil
2024,9,3,130,9,0.0635
2024,9,3,130,15,0.0348
2024,9,3,130,6,0.2663
2025,1,9,200,9,0.1734
2025,1,9,200,2,0.13
2025,1,9,200,3,0.2334
2025,1,9,200,10,0.1221
2025,1,9,200,1,0.3411
2024,12,10,200,5,0.0705
2024,12,10,200,1,0.1712
2024,12,10,200,2,0.1099
2024,12,10,200,3,0.1323
2024,12,10,200,4,0.057
2024,12,10,200,8,0.3225
2024,12,10,200,7,0.1366
2024,12,1,210,9,0.1811
2024,12,1,210,11,0.232
2024,12,1,210,2,0.1706
2024,12,1,210,10,0.0526
2024,12,1,210,4,0.1299
2024,12,1,210,8,0.2047
2024,12,1,210,6,0.0291
2024,2,6,130,8,0.3258
2024,2,6,130,12,0.1044
2024,2,6,130,7,0.1214
2024,2,6,130,3,0.2545
2024,2,6,130,14,0.1939
2024,11,16,110,9,0.2845
2024,11,16,110,7,0.1361
2024,11,16,110,2,0.1434
2024,11,16,110,3,0.245
2024,11,16,110,12,0.0085
2024,11,16,110,1,0.1825
2025,10,5,100,9,0.22
2025,10,5,100,6,0.1554
2025,10,5,100,14,0.5735
2025,10,5,100,3,0.0511
2025,1,14,200,8,0.0583
2025,1,14,200,14,0.2151
2025,1,14,200,6,0.028
2025,1,14,200,15,0.1783
2025,1,14,200,1,0.0835
2025,1,14,200,13,0.1857
2025,1,14,200,2,0.0138
2025,1,14,200,5,0.2373
2025,4,14,210,15,0.3047
2025,4,14,210,11,0.1171
2025,4,14,210,3,0.2319
2025,4,14,210,5,0.2691
2025,4,14,210,8,0.048
2025,4,14,210,10,0.0292
2025,7,4,100,8,0.2165
2025,7,4,100,12,0.1667
2025,7,4,100,14,0.0338
2025,7,4,100,5,0.0557
2025,7,4,100,11,0.2866
2025,7,4,100,15,0.0023
2025,7,4,100,6,0.2384
2024,7,12,200,16,0.3717
2024,7,12,200,1,0.0889
2024,7,12,200,7,0.0937
2024,7,12,200,8,0.1051
2024,7,12,200,11,0.0763
2024,7,12,200,14,0.2643
2025,8,4,200,14,0.0816
2025,8,4,200,6,0.1716
2025,8,4,200,2,0.1594
2025,8,4,200,15,0.23
2025,8,4,200,10,0.0659
2025,8,4,200,1,0.2116
2025,8,4,200,3,0.0799
2025,4,7,120,12,0.2807
2025,4,7,120,16,0.0925
2025,4,7,120,9,0.1262
2025,4,7,120,14,0.229
2025,4,7,120,4,0.0389
2025,4,7,120,13,0.2275
2025,4,7,120,3,0.0052
2025,11,3,200,9,0.085
2025,11,3,200,7,0.2167
2025,11,3,200,8,0.2022
2025,11,3,200,3,0.1495
2025,11,3,200,11,0.0748
2025,11,3,200,10,0.0875
2025,11,3,200,13,0.1843
2024,6,6,130,6,0.0037
2024,6,6,130,9,0.0457
2024,6,6,130,3,0.0788
2024,6,6,130,14,0.3134
2024,6,6,130,13,0.2852
2024,6,6,130,16,0.2732
2025,3,3,130,10,0.287
2025,3,3,130,8,0.4112
2025,3,3,130,3,0.1759
2025,3,3,130,9,0.1259
2025,7,16,100,3,0.6043
2025,7,16,100,14,0.1872
2025,7,16,100,16,0.2085
2024,5,13,110,6,0.2067
2024,5,13,110,10,0.2236
2024,5,13,110,1,0.1346
2024,5,13,110,13,0.2838
2024,5,13,110,14,0.1513
2024,3,10,110,14,0.3413
2024,3,10,110,7,0.3314
2024,3,10,110,1,0.3077
2024,3,10,110,5,0.0196
2025,8,19,130,12,0.3213
2025,8,19,130,7,0.0093
2025,8,19,130,4,0.115
2025,8,19,130,3,0.0372
2025,8,19,130,2,0.3662
2025,8,19,130,8,0.0419
2025,8,19,130,5,0.1091
2024,8,10,130,7,0.0709
2024,8,10,130,9,0.3697
2024,8,10,130,10,0.0414
2024,8,10,130,3,0.4198
2024,8,10,130,13,0.0982
2024,3,11,100,2,0.5968
2024,3,11,100,7,0.092
2024,3,11,100,1,0.3112
2024,9,5,130,11,0.1931
2024,9,5,130,7,0.4457
2024,9,5,130,5,0.3612
2025,2,15,130,16,0.1159
2025,2,15,130,7,0.2513
2025,2,15,130,14,0.6328
2024,1,10,130,12,0.0676
2024,1,10,130,1,0.1432
2024,1,10,130,15,0.1503
2024,1,10,130,10,0.1439
2024,1,10,130,6,0.0496
2024,1,10,130,4,0.0754
2024,1,10,130,8,0.0376
2024,1,10,130,3,0.3324
2025,4,4,210,14,0.4853
2025,4,4,210,2,0.3197
2025,4,4,210,1,0.1467
2025,4,4,210,11,0.0483
2024,2,13,100,10,0.1234
2024,2,13,100,3,0.3183
2024,2,13,100,4,0.1018
2024,2,13,100,12,0.3238
2024,2,13,100,2,0.0695
2024,2,13,100,7,0.0632
2024,9,6,200,13,0.1153
2024,9,6,200,9,0.189
2024,9,6,200,6,0.2156
2024,9,6,200,8,0.165
2024,9,6,200,7,0.0491
2024,9,6,200,1,0.266
2025,5,9,100,14,0.5314
2025,5,9,100,13,0.062
2025,5,9,100,2,0.3408
2025,5,9,100,8,0.0122
2025,5,9,100,6,0.0536
2024,9,13,200,7,0.3465
2024,9,13,200,3,0.1128
2024,9,13,200,5,0.0861
2024,9,13,200,12,0.1209
2024,9,13,200,15,0.3031
2024,9,13,200,1,0.0306
2024,3,1,120,6,0.2269
2024,3,1,120,4,0.1428
2024,3,1,120,5,0.1108
2024,3,1,120,16,0.0728
2024,3,1,120,7,0.1625
2024,3,1,120,13,0.2842
2024,9,6,100,12,0.2214
2024,9,6,100,14,0.3079
2024,9,6,100,5,0.1563
2024,9,6,100,13,0.3144
2025,11,20,130,2,0.1636
2025,11,20,130,5,0.2329
2025,11,20,130,12,0.0845
2025,11,20,130,8,0.2072
2025,11,20,130,3,0.3108
2025,11,20,130,4,0.001
2024,3,11,120,8,0.3079
2024,3,11,120,9,0.1675
2024,3,11,120,14,0.3281
2024,3,11,120,6,0.0606
2024,3,11,120,11,0.1359
2025,2,6,200,8,0.0075
2025,2,6,200,6,0.3713
2025,2,6,200,13,0.2705
2025,2,6,200,10,0.1025
2025,2,6,200,14,0.2482
2025,1,3,120,14,0.2064
2025,1,3,120,1,0.2395
2025,1,3,120,5,0.0954
2025,1,3,120,8,0.148
2025,1,3,120,11,0.3107
2025,1,20,110,9,0.0192
2025,1,20,110,5,0.1748
2025,1,20,110,4,0.1959
2025,1,20,110,8,0.2237
2025,1,20,110,1,0.0816
2025,1,20,110,7,0.0966
2025,1,20,110,11,0.2082
2024,10,7,210,5,0.1405
2024,10,7,210,11,0.2056
2024,10,7,210,7,0.2451
2024,10,7,210,13,0.0171
2024,10,7,210,4,0.1675
2024,10,7,210,14,0.2242
2024,12,2,100,12,0.3309
2024,12,2,100,14,0.2532
2024,12,2,100,9,0.4159
2025,8,19,210,15,0.3255
2025,8,19,210,8,0.0621
2025,8,19,210,12,0.4385
2025,8,19,210,3,0.1739
2024,9,7,110,15,0.5538
2024,9,7,110,11,0.2545
2024,9,7,110,14,0.1917
2024,5,12,210,12,0.0236
2024,5,12,210,7,0.6385
2024,5,12,210,13,0.1618
2024,5,12,210,15,0.1761
2025,6,10,100,14,0.0138
2025,6,10,100,10,0.2441
2025,6,10,100,9,0.2224
2025,6,10,100,4,0.1066
2025,6,10,100,13,0.4131
2025,1,20,120,4,0.1546
2025,1,20,120,9,0.3263
2025,1,20,120,3,0.1747
2025,1,20,120,14,0.2112
2025,1,20,120,12,0.1033
2025,1,20,120,13,0.0299
2024,10,4,210,15,0.3788
2024,10,4,210,9,0.2459
2024,10,4,210,11,0.3753
2025,9,6,130,2,0.2675
2025,9,6,130,7,0.0954
2025,9,6,130,8,0.3175
2025,9,6,130,13,0.079
2025,9,6,130,4,0.2406
2025,2,14,120,16,0.2347
2025,2,14,120,7,0.2336
2025,2,14,120,1,0.1763
2025,2,14,120,12,0.1581
2025,2,14,120,6,0.0385
2025,2,14,120,11,0.0327
2025,2,14,120,13,0.1261
2024,7,8,200,14,0.2608
2024,7,8,200,13,0.1921
2024,7,8,200,12,0.346
2024,7,8,200,15,0.0142
2024,7,8,200,2,0.1869
2024,5,15,110,2,0.2385
2024,5,15,110,13,0.1806
2024,5,15,110,16,0.3007
2024,5,15,110,7,0.2802
2024,10,10,130,16,0.3639
2024,10,10,130,4,0.1112
2024,10,10,130,13,0.5249
2024,12,20,200,3,0.1536
2024,12,20,200,11,0.1144
2024,12,20,200,10,0.0882
2024,12,20,200,9,0.2415
2024,12,20,200,16,0.0558
2024,12,20,200,8,0.2198
2024,12,20,200,2,0.1267
2025,3,5,130,1,0.073
2025,3,5,130,9,0.2495
2025,3,5,130,7,0.067
2025,3,5,130,5,0.0876
2025,3,5,130,10,0.2954
2025,3,5,130,13,0.2275
2025,6,19,110,8,0.0274
2025,6,19,110,15,0.0871
2025,6,19,110,2,0.1372
2025,6,19,110,11,0.2374
2025,6,19,110,4,0.1091
2025,6,19,110,6,0.2411
2025,6,19,110,5,0.1453
2025,6,19,110,1,0.0154
2024,1,14,210,15,0.3002
2024,1,14,210,4,0.1599
2024,1,14,210,1,0.2889
2024,1,14,210,6,0.0818
2024,1,14,210,5,0.1692
2025,12,18,200,9,0.1289
2025,12,18,200,11,0.1492
2025,12,18,200,13,0.1147
2025,12,18,200,4,0.139
2025,12,18,200,1,0.2568
2025,12,18,200,3,0.107
2025,12,18,200,2,0.1044
2025,4,3,200,9,0.021
2025,4,3,200,11,0.1324
2025,4,3,200,4,0.0514
2025,4,3,200,15,0.1572
2025,4,3,200,2,0.1875
2025,4,3,200,6,0.134
2025,4,3,200,16,0.1834
2025,4,3,200,1,0.1331
2025,11,5,110,11,0.5137
2025,11,5,110,1,0.4237
2025,11,5,110,4,0.0626
2024,1,11,120,5,0.3764
2024,1,11,120,7,0.5631
2024,1,11,120,11,0.0605
2024,11,15,130,2,0.4667
2024,11,15,130,9,0.4992
2024,11,15,130,11,0.0341
2024,4,13,130,13,0.2918
2024,4,13,130,3,0.2013
2024,4,13,130,9,0.0844
2024,4,13,130,15,0.4225
2024,10,14,120,10,0.345
2024,10,14,120,14,0.0101
2024,10,14,120,9,0.077
2024,10,14,120,6,0.2652
2024,10,14,120,1,0.3027
2025,1,5,200,6,0.1446
2025,1,5,200,11,0.0395
2025,1,5,200,15,0.2832
2025,1,5,200,8,0.2219
2025,1,5,200,14,0.3108
2025,7,6,130,13,0.1656
2025,7,6,130,14,0.456
2025,7,6,130,2,0.3784
2025,6,5,130,2,0.7
2025,6,5,130,9,0.2
2025,6,5,130,3,0.1
2024,1,13,210,6,0.143
2024,1,13,210,15,0.6625
2024,1,13,210,7,0.1945
2024,4,16,130,7,0.2294
2024,4,16,130,6,0.067
2024,4,16,130,13,0.0922
2024,4,16,130,10,0.3636
2024,4,16,130,16,0.2478
2025,10,13,210,1,0.2584
2025,10,13,210,2,0.2965
2025,10,13,210,3,0.0454
2025,10,13,210,16,0.0517
2025,10,13,210,12,0.2795
2025,10,13,210,5,0.0685
2024,2,4,210,1,0.0648
2024,2,4,210,10,0.0476
2024,2,4,210,2,0.2371
2024,2,4,210,3,0.1485
2024,2,4,210,4,0.1056
2024,2,4,210,8,0.2128
2024,2,4,210,6,0.1836
2024,5,9,210,13,0.0005
2024,5,9,210,11,0.5782
2024,5,9,210,16,0.1849
2024,5,9,210,8,0.2364
2025,7,16,130,10,0.1113
2025,7,16,130,1,0.3828
2025,7,16,130,6,0.1282
2025,7,16,130,14,0.3777
2025,11,18,110,15,0.1909
2025,11,18,110,13,0.1807
2025,11,18,110,6,0.0594
2025,11,18,110,16,0.1917
2025,11,18,110,5,0.1115
2025,11,18,110,11,0.0321
2025,11,18,110,1,0.077
2025,11,18,110,4,0.1567
2024,7,15,210,16,0.1351
2024,7,15,210,4,0.3283
2024,7,15,210,9,0.3157
2024,7,15,210,6,0.0758
2024,7,15,210,5,0.0126
2024,7,15,210,7,0.1325
2024,12,19,120,14,0.1342
2024,12,19,120,5,0.1307
2024,12,19,120,10,0.1117
2024,12,19,120,2,0.2101
2024,12,19,120,3,0.2046
2024,12,19,120,6,0.2087
2024,11,4,210,2,0.2348
2024,11,4,210,5,0.0826
2024,11,4,210,3,0.4303
2024,11,4,210,10,0.2523
2025,7,11,200,1,0.0356
2025,7,11,200,7,0.2223
2025,7,11,200,15,0.4563
2025,7,11,200,14,0.2858
2025,4,3,100,7,0.2268
2025,4,3,100,15,0.2193
2025,4,3,100,6,0.3306
2025,4,3,100,16,0.2233
2025,6,19,130,8,0.216
2025,6,19,130,4,0.1866
2025,6,19,130,6,0.3801
2025,6,19,130,13,0.2173
2024,10,13,130,16,0.0063
2024,10,13,130,8,0.0622
2024,10,13,130,10,0.1306
2024,10,13,130,3,0.0885
2024,10,13,130,6,0.2681
2024,10,13,130,7,0.4443
2025,2,5,200,8,0.2064
2025,2,5,200,2,0.0741
2025,2,5,200,6,0.2989
2025,2,5,200,4,0.0331
2025,2,5,200,10,0.3875
2025,8,17,120,1,0.0144
2025,8,17,120,16,0.2862
2025,8,17,120,15,0.2042
2025,8,17,120,2,0.2719
2025,8,17,120,5,0.0429
2025,8,17,120,12,0.1804
2025,8,8,100,3,0.2169
2025,8,8,100,13,0.1822
2025,8,8,100,5,0.1405
2025,8,8,100,12,0.0543
2025,8,8,100,11,0.0295
2025,8,8,100,15,0.0509
2025,8,8,100,4,0.2022
2025,8,8,100,1,0.1235
2025,9,8,200,16,0.2995
2025,9,8,200,3,0.2125
2025,9,8,200,1,0.1599
2025,9,8,200,10,0.3281
2024,11,7,110,6,0.0452
2024,11,7,110,12,0.3037
2024,11,7,110,13,0.1101
2024,11,7,110,11,0.3241
2024,11,7,110,15,0.2169
2025,6,8,210,6,0.4632
2025,6,8,210,4,0.0173
2025,6,8,210,16,0.5195
2025,4,5,110,14,0.1394
2025,4,5,110,10,0.1547
2025,4,5,110,13,0.0312
2025,4,5,110,2,0.2339
2025,4,5,110,15,0.2345
2025,4,5,110,5,0.2063
2025,9,10,210,2,0.2401
2025,9,10,210,11,0.0233
2025,9,10,210,14,0.1799
2025,9,10,210,6,0.0672
2025,9,10,210,7,0.2554
2025,9,10,210,9,0.1225
2025,9,10,210,3,0.1116
2025,10,10,210,14,0.516
2025,10,10,210,10,0.0807
2025,10,10,210,6,0.4033
2024,7,17,130,10,0.0532
2024,7,17,130,14,0.1463
2024,7,17,130,15,0.0654
2024,7,17,130,1,0.1985
2024,7,17,130,5,0.1351
2024,7,17,130,4,0.0992
2024,7,17,130,12,0.1273
2024,7,17,130,8,0.175
2025,2,18,210,1,0.5726
2025,2,18,210,16,0.2294
2025,2,18,210,8,0.198
2025,2,7,200,12,0.2338
2025,2,7,200,1,0.055
2025,2,7,200,4,0.0138
2025,2,7,200,7,0.2133
2025,2,7,200,2,0.2557
2025,2,7,200,10,0.2284
2025,10,20,210,3,0.1094
2025,10,20,210,10,0.0452
2025,10,20,210,4,0.1742
2025,10,20,210,9,0.1929
2025,10,20,210,8,0.2028
2025,10,20,210,14,0.0739
2025,10,20,210,11,0.2016
2024,2,9,130,1,0.0087
2024,2,9,130,13,0.2541
2024,2,9,130,5,0.1812
2024,2,9,130,8,0.2935
2024,2,9,130,7,0.2625
2024,4,20,100,3,0.2312
2024,4,20,100,15,0.0426
2024,4,20,100,1,0.4231
2024,4,20,100,12,0.0398
2024,4,20,100,8,0.2633
2025,7,12,210,12,0.3814
2025,7,12,210,2,0.5273
2025,7,12,210,8,0.0913
2024,4,14,100,12,0.0129
2024,4,14,100,2,0.2853
2024,4,14,100,5,0.1957
2024,4,14,100,6,0.1241
2024,4,14,100,7,0.0005
2024,4,14,100,4,0.1214
2024,4,14,100,14,0.2601
2024,12,10,100,4,0.1875
2024,12,10,100,6,0.0697
2024,12,10,100,14,0.1868
2024,12,10,100,8,0.2583
2024,12,10,100,5,0.0131
2024,12,10,100,12,0.1379
2024,12,10,100,10,0.1325
2024,12,10,100,7,0.0142
2024,12,4,100,8,0.4362
2024,12,4,100,15,0.3902
2024,12,4,100,14,0.1736
2025,2,18,130,4,0.2069
2025,2,18,130,9,0.2699
2025,2,18,130,5,0.1869
2025,2,18,130,1,0.061
2025,2,18,130,16,0.2753
2025,7,15,100,7,0.2636
2025,7,15,100,10,0.1073
2025,7,15,100,16,0.6291
2024,9,8,120,2,0.1841
2024,9,8,120,4,0.2034
2024,9,8,120,9,0.0062
2024,9,8,120,6,0.1305
2024,9,8,120,14,0.1585
2024,9,8,120,12,0.0445
2024,9,8,120,7,0.0944
2024,9,8,120,5,0.1784
2025,3,8,210,3,0.1471
2025,3,8,210,15,0.2022
2025,3,8,210,7,0.292
2025,3,8,210,5,0.2433
2025,3,8,210,12,0.1154
2025,3,13,100,5,0.1006
2025,3,13,100,4,0.285
2025,3,13,100,1,0.1687
2025,3,13,100,15,0.1701
2025,3,13,100,10,0.0179
2025,3,13,100,8,0.2577
2025,2,13,200,16,0.1673
2025,2,13,200,1,0.3357
2025,2,13,200,9,0.2067
2025,2,13,200,12,0.0142
2025,2,13,200,10,0.2354
2025,2,13,200,14,0.0407
2025,1,1,110,3,0.0331
2025,1,1,110,9,0.0839
2025,1,1,110,14,0.3596
2025,1,1,110,12,0.061
2025,1,1,110,13,0.1637
2025,1,1,110,11,0.0421
2025,1,1,110,5,0.1408
2025,1,1,110,4,0.1158
2025,3,6,130,2,0.1419
2025,3,6,130,6,0.3873
2025,3,6,130,3,0.0656
2025,3,6,130,13,0.3862
2025,3,6,130,7,0.019
2024,1,14,110,6,0.2478
2024,1,14,110,3,0.1856
2024,1,14,110,1,0.1303
2024,1,14,110,16,0.2606
2024,1,14,110,4,0.0995
2024,1,14,110,10,0.0762
2025,9,3,210,2,0.2497
2025,9,3,210,14,0.2433
2025,9,3,210,9,0.0217
2025,9,3,210,11,0.204
2025,9,3,210,13,0.0786
2025,9,3,210,3,0.2027
2024,8,17,100,11,0.2078
2024,8,17,100,12,0.2579
2024,8,17,100,4,0.0342
2024,8,17,100,10,0.1053
2024,8,17,100,5,0.0642
2024,8,17,100,7,0.1817
2024,8,17,100,8,0.1489
2024,1,18,120,12,0.1093
2024,1,18,120,4,0.3045
2024,1,18,120,1,0.5862
2024,6,8,120,1,0.3803
2024,6,8,120,3,0.0025
2024,6,8,120,6,0.3802
2024,6,8,120,8,0.2167
2024,6,8,120,9,0.0203
2024,12,2,130,13,0.2706
2024,12,2,130,4,0.163
2024,12,2,130,1,0.5664
2025,5,1,110,2,0.057
2025,5,1,110,3,0.4112
2025,5,1,110,12,0.1727
2025,5,1,110,9,0.0052
2025,5,1,110,11,0.3539
2024,9,4,100,1,0.2707
2024,9,4,100,14,0.2733
2024,9,4,100,4,0.456
2025,4,13,110,8,0.1615
2025,4,13,110,11,0.1525
2025,4,13,110,1,0.686
2025,3,9,210,6,0.2332
2025,3,9,210,12,0.1751
2025,3,9,210,4,0.2145
2025,3,9,210,13,0.113
2025,3,9,210,8,0.2642
2025,8,2,110,6,0.0087
2025,8,2,110,7,0.1787
2025,8,2,110,1,0.096
2025,8,2,110,14,0.1899
2025,8,2,110,10,0.1962
2025,8,2,110,9,0.1935
2025,8,2,110,15,0.137
2024,4,15,100,9,0.1228
2024,4,15,100,11,0.2879
2024,4,15,100,10,0.3709
2024,4,15,100,3,0.1085
2024,4,15,100,1,0.1099
2025,4,12,100,8,0.0072
2025,4,12,100,9,0.2506
2025,4,12,100,2,0.3209
2025,4,12,100,14,0.2659
2025,4,12,100,15,0.1554
2024,2,4,110,7,0.1347
2024,2,4,110,5,0.1375
2024,2,4,110,14,0.2935
2024,2,4,110,15,0.2021
2024,2,4,110,6,0.2322
2024,11,20,200,4,0.0383
2024,11,20,200,8,0.5119
2024,11,20,200,10,0.278
2024,11,20,200,15,0.1718
2024,12,9,110,4,0.1624
2024,12,9,110,13,0.1717
2024,12,9,110,7,0.1137
2024,12,9,110,3,0.3313
2024,12,9,110,5,0.0592
2024,12,9,110,9,0.1617
2024,3,7,200,1,0.3252
2024,3,7,200,3,0.0175
2024,3,7,200,4,0.2415
2024,3,7,200,6,0.1284
2024,3,7,200,2,0.0028
2024,3,7,200,13,0.2846
2024,1,19,200,3,0.1844
2024,1,19,200,7,0.2341
2024,1,19,200,8,0.0329
2024,1,19,200,13,0.0686
2024,1,19,200,2,0.136
2024,1,19,200,6,0.0399
2024,1,19,200,15,0.1305
2024,1,19,200,1,0.1736
2024,12,15,200,9,0.0585
2024,12,15,200,1,0.1861
2024,12,15,200,12,0.0875
2024,12,15,200,7,0.257
2024,12,15,200,5,0.2512
2024,12,15,200,6,0.1597
2024,12,4,210,15,0.2303
2024,12,4,210,2,0.283
2024,12,4,210,10,0.1934
2024,12,4,210,12,0.1613
2024,12,4,210,16,0.132
2025,1,6,200,10,0.0966
2025,1,6,200,14,0.0306
2025,1,6,200,12,0.0584
2025,1,6,200,7,0.219
2025,1,6,200,16,0.1774
2025,1,6,200,4,0.123
2025,1,6,200,13,0.1559
2025,1,6,200,6,0.1391
2024,10,17,200,1,0.2207
2024,10,17,200,6,0.2261
2024,10,17,200,11,0.1579
2024,10,17,200,8,0.1928
2024,10,17,200,16,0.1823
2024,10,17,200,3,0.0202
2024,11,14,120,8,0.0864
2024,11,14,120,14,0.16
2024,11,14,120,1,0.022
2024,11,14,120,13,0.3102
2024,11,14,120,11,0.4214
2025,4,3,130,7,0.2697
2025,4,3,130,14,0.2359
2025,4,3,130,15,0.1872
2025,4,3,130,3,0.3072
2025,11,12,130,7,0.1364
2025,11,12,130,10,0.0188
2025,11,12,130,14,0.4099
2025,11,12,130,16,0.4349
2025,3,10,110,8,0.1454
2025,3,10,110,13,0.3324
2025,3,10,110,3,0.2524
2025,3,10,110,7,0.0999
2025,3,10,110,16,0.1699
2024,3,11,210,6,0.4808
2024,3,11,210,4,0.3612
2024,3,11,210,12,0.0259
2024,3,11,210,9,0.1321
2025,1,7,120,1,0.5294
2025,1,7,120,10,0.0001
2025,1,7,120,2,0.3253
2025,1,7,120,5,0.1452
2025,10,5,110,9,0.454
2025,10,5,110,5,0.2336
2025,10,5,110,3,0.0333
2025,10,5,110,4,0.2791
2025,6,10,110,1,0.2098
2025,6,10,110,13,0.2033
2025,6,10,110,11,0.0533
2025,6,10,110,8,0.5336
2024,6,11,200,11,0.049
2024,6,11,200,3,0.2335
2024,6,11,200,7,0.0303
2024,6,11,200,1,0.0009
2024,6,11,200,8,0.2026
2024,6,11,200,6,0.192
2024,6,11,200,14,0.2397
2024,6,11,200,2,0.052
2024,7,6,100,6,0.4973
2024,7,6,100,13,0.363
2024,7,6,100,15,0.0754
2024,7,6,100,7,0.0643
2024,11,12,210,15,0.2213
2024,11,12,210,8,0.1263
2024,11,12,210,4,0.2395
2024,11,12,210,14,0.2382
2024,11,12,210,2,0.1002
2024,11,12,210,7,0.0745
2024,8,1,100,1,0.3089
2024,8,1,100,15,0.029
2024,8,1,100,13,0.2094
2024,8,1,100,8,0.0191
2024,8,1,100,16,0.3399
2024,8,1,100,4,0.0937
2024,12,10,110,10,0.2054
2024,12,10,110,3,0.0772
2024,12,10,110,11,0.0139
2024,12,10,110,5,0.2329
2024,12,10,110,2,0.0701
2024,12,10,110,1,0.1752
2024,12,10,110,8,0.2253
2024,11,15,200,12,0.0555
2024,11,15,200,9,0.2296
2024,11,15,200,3,0.001
2024,11,15,200,7,0.3734
2024,11,15,200,8,0.3349
2024,11,15,200,13,0.0056
2025,3,4,200,8,0.1136
2025,3,4,200,12,0.3023
2025,3,4,200,7,0.5841
2025,6,18,210,13,0.0701
2025,6,18,210,15,0.156
2025,6,18,210,16,0.1693
2025,6,18,210,5,0.0548
2025,6,18,210,7,0.137
2025,6,18,210,2,0.057
2025,6,18,210,14,0.1539
2025,6,18,210,8,0.2019
2024,5,3,110,16,0.0619
2024,5,3,110,12,0.2192
2024,5,3,110,10,0.1214
2024,5,3,110,9,0.0082
2024,5,3,110,15,0.1775
2024,5,3,110,5,0.2132
2024,5,3,110,14,0.1952
2024,5,3,110,2,0.0034
2025,3,6,120,7,0.1235
2025,3,6,120,3,0.0531
2025,3,6,120,14,0.3103
2025,3,6,120,16,0.406
2025,3,6,120,13,0.1071
2025,9,11,130,4,0.137
2025,9,11,130,3,0.2186
2025,9,11,130,2,0.1248
2025,9,11,130,15,0.1522
2025,9,11,130,12,0.1545
2025,9,11,130,9,0.2129
2025,6,3,130,10,0.0078
2025,6,3,130,9,0.3348
2025,6,3,130,6,0.0873
2025,6,3,130,4,0.2155
2025,6,3,130,5,0.3546
2025,7,2,110,5,0.3924
2025,7,2,110,15,0.2839
2025,7,2,110,4,0.1228
2025,7,2,110,10,0.2009
2025,3,12,210,6,0.2001
2025,3,12,210,16,0.2188
2025,3,12,210,7,0.2134
2025,3,12,210,12,0.3677
2024,7,17,110,5,0.2118
2024,7,17,110,15,0.0189
2024,7,17,110,3,0.2145
2024,7,17,110,4,0.3174
2024,7,17,110,8,0.0947
2024,7,17,110,9,0.1266
2024,7,17,110,11,0.0161
2024,2,2,110,3,0.0725
2024,2,2,110,12,0.0845
2024,2,2,110,4,0.177
2024,2,2,110,15,0.1083
2024,2,2,110,13,0.1758
2024,2,2,110,5,0.1751
2024,2,2,110,10,0.0707
2024,2,2,110,6,0.1361
2024,10,9,100,14,0.2291
2024,10,9,100,11,0.3217
2024,10,9,100,8,0.0778
2024,10,9,100,10,0.2739
2024,10,9,100,5,0.0975
2025,6,6,110,15,0.2917
2025,6,6,110,3,0.0882
2025,6,6,110,4,0.6201
2024,12,12,130,5,0.6241
2024,12,12,130,7,0.2151
2024,12,12,130,2,0.1608
