monat,jahr,meldestelle_code,tarifverbund_id,ticket_code,anzahl,preis_eur,umsatz_eur,gueltig_ab,plz
12,2024,MS-CGN-002,10,5,8,39.0,312.0,2025-07-19,96344
4,2024,MS-MUC-001,15,1,170,49.0,8330.0,2024-06-06,14935
9,2025,MS-DUS-001,14,4,125,49.0,6125.0,2024-09-06,66083
7,2024,MS-FRA-003,20,5,196,39.0,7644.0,2024-05-19,22318
7,2025,MS-ESS-001,17,3,215,63.0,13545.0,2024-01-03,36827
10,2025,MS-DUI-001,16,2,119,58.0,6902.0,2025-07-05,66113
6,2025,MS-NUE-003,18,4,121,49.0,5929.0,2024-11-25,28542
10,2024,MS-LEJ-003,8,4,16,49.0,784.0,2024-11-21,7211
12,2025,MS-LEJ-002,13,2,131,58.0,7598.0,2024-02-07,30280
2,2025,MS-BRE-003,4,5,238,39.0,9282.0,2025-04-12,25254
7,2024,MS-CGN-001,3,4,205,49.0,10045.0,2024-09-28,55178
11,2025,MS-HAM-004,11,5,102,39.0,3978.0,2024-11-20,18087
9,2025,MS-BER-005,20,1,65,49.0,3185.0,2025-10-08,6688
4,2025,MS-HAM-005,14,1,199,49.0,9751.0,2025-10-10,6956
8,2024,MS-CGN-003,10,1,16,49.0,784.0,2024-11-28,20670
6,2025,MS-LEJ-001,14,2,67,58.0,3886.0,2025-06-27,86465
3,2024,MS-FRA-001,3,5,227,39.0,8853.0,2025-01-26,18706
8,2024,MS-DUI-001,5,2,123,58.0,7134.0,2025-10-15,36602
5,2025,MS-BER-002,15,3,178,63.0,11214.0,2025-07-13,27884
8,2024,MS-ESS-002,19,3,168,63.0,10584.0,2025-03-10,6836
8,2025,MS-DTM-001,7,4,223,49.0,10927.0,2025-05-09,27510
7,2024,MS-NUE-006,12,5,80,39.0,3120.0,2025-12-17,55858
11,2024,MS-LEJ-004,9,1,149,49.0,7301.0,2025-12-03,9959
10,2024,MS-HAJ-002,10,2,160,58.0,9280.0,2024-12-26,50153
10,2024,MS-STR-004,5,1,236,49.0,11564.0,2025-10-04,2465
5,2024,MS-BRE-003,2,5,98,39.0,3822.0,2024-05-14,22522
6,2025,MS-LEJ-007,6,2,38,58.0,2204.0,2025-07-06,73129
3,2025,MS-STR-004,16,3,196,63.0,12348.0,2024-12-12,26606
2,2025,MS-MUC-005,8,4,221,49.0,10829.0,2025-07-24,73129
7,2024,MS-BER-002,9,5,36,39.0,1404.0,2025-04-10,89174
10,2025,MS-LEJ-002,12,1,177,49.0,8673.0,2024-08-27,66777
10,2024,MS-NUE-004,11,5,61,39.0,2379.0,2025-10-25,20311
12,2025,MS-DTM-001,14,1,40,49.0,1960.0,2024-02-16,24687
8,2025,MS-MUC-001,4,2,232,58.0,13456.0,2025-07-04,27702
8,2025,MS-LEJ-001,18,4,155,49.0,7595.0,2024-06-07,90774
8,2024,MS-DUI-005,14,3,13,63.0,819.0,2025-12-07,89453
8,2024,MS-BRE-003,8,3,30,63.0,1890.0,2025-12-03,89174
1,2025,MS-LEJ-004,9,2,36,58.0,2088.0,2025-04-10,22522
11,2024,MS-DUI-003,1,1,206,49.0,10094.0,2024-12-07,47484
10,2024,MS-FRA-005,3,5,58,39.0,2262.0,2025-08-23,42785
6,2024,MS-MUC-005,20,1,75,49.0,3675.0,2024-05-28,28435
3,2025,MS-MUC-001,1,2,8,58.0,464.0,2025-01-01,45661
1,2025,MS-FRA-001,9,1,37,49.0,1813.0,2025-03-07,14977
12,2024,MS-HAM-002,16,4,204,49.0,9996.0,2025-01-05,12879
8,2024,MS-HAJ-003,8,5,16,39.0,624.0,2025-11-05,13327
8,2025,MS-BER-004,2,4,221,49.0,10829.0,2025-02-15,92541
8,2024,MS-BRE-003,3,1,87,49.0,4263.0,2025-09-14,28144
3,2024,MS-DUS-002,20,5,145,39.0,5655.0,2025-12-30,55526
10,2025,MS-HAJ-006,10,4,134,49.0,6566.0,2025-09-11,82536
12,2024,MS-MUC-001,18,2,115,58.0,6670.0,2025-04-07,47529
6,2025,MS-DRS-002,13,4,191,49.0,9359.0,2024-04-07,55280
6,2025,MS-STR-004,12,2,180,58.0,10440.0,2025-04-30,22802
2,2024,MS-HAM-005,14,1,195,49.0,9555.0,2025-01-16,28435
10,2024,MS-NUE-004,18,3,176,63.0,11088.0,2024-05-05,86465
11,2025,MS-BRE-001,2,3,158,63.0,9954.0,2024-11-15,88359
10,2024,MS-HAJ-003,7,2,173,58.0,10034.0,2025-05-08,43804
6,2024,MS-NUE-004,12,1,200,49.0,9800.0,2024-10-12,15248
7,2024,MS-NUE-004,20,5,177,39.0,6903.0,2025-10-20,19370
10,2024,MS-DUS-001,1,2,74,58.0,4292.0,2025-12-20,9849
6,2025,MS-ESS-002,1,2,227,58.0,13166.0,2024-05-26,19617
2,2025,MS-MUC-005,1,1,196,49.0,9604.0,2025-06-27,42785
7,2025,MS-DRS-002,11,2,99,58.0,5742.0,2024-11-15,6669
10,2025,MS-DUI-003,3,1,44,49.0,2156.0,2024-06-10,8363
11,2024,MS-HAM-004,9,4,174,49.0,8526.0,2025-03-10,66243
7,2025,MS-DUS-001,7,5,34,39.0,1326.0,2024-12-19,82536
5,2024,MS-DUI-002,16,5,175,39.0,6825.0,2024-11-11,25421
7,2024,MS-DUI-003,2,1,57,49.0,2793.0,2024-11-04,48702
5,2024,MS-DUS-004,11,1,6,49.0,294.0,2025-05-24,8544
3,2025,MS-MUC-003,13,5,185,39.0,7215.0,2024-08-23,14468
2,2025,MS-LEJ-004,2,4,9,49.0,441.0,2025-04-15,20051
10,2025,MS-BRE-001,19,4,186,49.0,9114.0,2025-10-17,92327
2,2025,MS-LEJ-005,1,3,48,63.0,3024.0,2025-09-24,66326
2,2025,MS-BRE-002,4,2,116,58.0,6728.0,2025-08-26,82981
7,2024,MS-DTM-002,11,2,90,58.0,5220.0,2024-06-21,20051
9,2024,MS-HAJ-004,7,3,94,63.0,5922.0,2025-10-22,28144
2,2024,MS-MUC-005,9,2,49,58.0,2842.0,2025-09-08,28846
3,2024,MS-HAJ-002,15,5,199,39.0,7761.0,2025-08-16,66952
11,2025,MS-DTM-003,5,4,22,49.0,1078.0,2025-04-25,66093
5,2025,MS-DUI-002,2,3,134,63.0,8442.0,2024-03-16,56988
8,2025,MS-BER-005,2,3,217,63.0,13671.0,2024-10-20,20051
10,2024,MS-DUI-003,17,4,123,49.0,6027.0,2025-08-17,16608
8,2024,MS-NUE-006,7,3,159,63.0,10017.0,2025-05-02,14468
1,2024,MS-DRS-001,4,3,187,63.0,11781.0,2024-03-27,10655
1,2024,MS-STR-003,15,4,139,49.0,6811.0,2025-06-19,19077
6,2024,MS-LEJ-001,10,4,109,49.0,5341.0,2024-12-12,3875
11,2024,MS-DTM-005,3,3,29,63.0,1827.0,2025-07-25,3875
5,2025,MS-STR-004,20,2,90,58.0,5220.0,2024-03-24,15597
6,2024,MS-DTM-002,13,2,157,58.0,9106.0,2025-12-26,22897
9,2025,MS-LEJ-002,11,2,176,58.0,10208.0,2025-12-20,8352
11,2024,MS-BRE-001,17,3,9,63.0,567.0,2025-01-06,56988
4,2024,MS-ESS-001,16,2,62,58.0,3596.0,2024-05-20,28346
5,2024,MS-HAM-006,17,5,218,39.0,8502.0,2025-06-23,24687
10,2025,MS-MUC-003,20,4,44,49.0,2156.0,2024-06-15,27690
12,2024,MS-BRE-003,2,4,98,49.0,4802.0,2025-11-23,6699
8,2024,MS-DUI-005,10,4,64,49.0,3136.0,2025-06-30,50468
8,2025,MS-FRA-003,12,5,117,39.0,4563.0,2025-04-17,8159
7,2025,MS-HAJ-003,17,4,46,49.0,2254.0,2024-07-23,17665
5,2024,MS-BER-007,16,3,146,63.0,9198.0,2024-04-15,6784
5,2024,MS-HAM-004,6,3,120,63.0,7560.0,2025-06-09,28144
2,2025,MS-FRA-007,15,3,243,63.0,15309.0,2024-01-28,90774
7,2024,MS-HAJ-003,12,2,103,58.0,5974.0,2024-03-24,74636
1,2024,MS-DTM-003,4,3,207,63.0,13041.0,2024-05-29,28167
5,2024,MS-DRS-004,5,4,119,49.0,5831.0,2025-09-22,25878
1,2024,MS-STR-004,7,2,145,58.0,8410.0,2025-09-15,10285
2,2025,MS-DUS-003,8,3,36,63.0,2268.0,2024-02-18,50468
11,2025,MS-DUI-006,15,1,33,49.0,1617.0,2025-05-26,17561
11,2024,MS-HAJ-004,19,2,188,58.0,10904.0,2024-05-27,64460
1,2025,MS-DUI-005,12,2,151,58.0,8758.0,2025-03-02,28520
9,2024,MS-ESS-004,3,5,144,39.0,5616.0,2025-06-03,12421
7,2024,MS-DRS-004,2,4,100,49.0,4900.0,2024-09-16,8544
6,2024,MS-HAM-002,12,2,192,58.0,11136.0,2025-11-03,19954
10,2024,MS-DTM-005,5,1,95,49.0,4655.0,2025-07-13,55178
11,2024,MS-DRS-003,16,2,212,58.0,12296.0,2024-05-18,20311
1,2025,MS-DUS-004,7,1,207,49.0,10143.0,2024-07-23,24283
5,2025,MS-HAJ-004,13,5,126,39.0,4914.0,2024-09-16,24480
5,2024,MS-ESS-003,2,3,74,63.0,4662.0,2024-05-07,89174
7,2025,MS-BRE-003,13,3,52,63.0,3276.0,2025-05-23,6763
6,2025,MS-HAJ-005,9,1,191,49.0,9359.0,2025-03-10,22007
10,2025,MS-FRA-002,18,3,87,63.0,5481.0,2024-04-15,22007
11,2025,MS-DUS-004,10,4,159,49.0,7791.0,2025-03-12,28089
6,2025,MS-DRS-001,2,3,162,63.0,10206.0,2025-03-21,64811
2,2024,MS-LEJ-005,12,5,210,39.0,8190.0,2025-11-26,28775
3,2024,MS-DUI-004,15,1,37,49.0,1813.0,2024-03-09,41210
6,2025,MS-LEJ-003,19,1,159,49.0,7791.0,2024-06-06,3875
6,2025,MS-LEJ-001,15,1,151,49.0,7399.0,2024-05-20,10550
7,2025,MS-DTM-003,9,2,250,58.0,14500.0,2024-04-26,25720
8,2024,MS-HAJ-005,13,5,35,39.0,1365.0,2024-09-25,8473
12,2025,MS-DRS-001,7,5,78,39.0,3042.0,2025-12-11,14064
2,2024,MS-MUC-004,3,4,49,49.0,2401.0,2025-12-31,66836
11,2024,MS-DTM-003,12,1,145,49.0,7105.0,2025-07-09,36808
3,2025,MS-FRA-001,12,5,62,39.0,2418.0,2024-05-04,51370
4,2024,MS-HAJ-002,1,3,146,63.0,9198.0,2025-08-09,89174
9,2025,MS-MUC-003,20,1,21,49.0,1029.0,2024-11-12,85796
9,2025,MS-LEJ-006,14,5,23,39.0,897.0,2024-05-08,56813
8,2024,MS-DRS-003,17,3,37,63.0,2331.0,2025-07-18,8822
3,2024,MS-BRE-002,17,1,217,49.0,10633.0,2024-05-07,10469
5,2024,MS-CGN-003,6,3,244,63.0,15372.0,2025-12-27,50451
9,2025,MS-DUS-003,3,3,55,63.0,3465.0,2025-10-12,15646
3,2025,MS-DTM-001,20,5,28,39.0,1092.0,2025-05-29,5706
10,2024,MS-DUI-001,5,2,173,58.0,10034.0,2025-10-01,6699
10,2025,MS-BER-006,1,1,16,49.0,784.0,2025-10-18,8909
11,2025,MS-FRA-005,19,4,163,49.0,7987.0,2025-10-16,25283
11,2025,MS-NUE-002,10,3,128,63.0,8064.0,2024-09-07,6688
5,2025,MS-DRS-002,3,1,45,49.0,2205.0,2025-03-26,90774
8,2025,MS-FRA-005,11,5,41,39.0,1599.0,2024-11-16,6384
12,2025,MS-ESS-002,13,2,199,58.0,11542.0,2025-01-14,10346
6,2024,MS-STR-002,15,1,73,49.0,3577.0,2025-04-05,35931
2,2024,MS-BER-007,10,4,226,49.0,11074.0,2025-09-22,95928
3,2024,MS-DTM-004,19,3,53,63.0,3339.0,2024-06-12,14935
8,2025,MS-DTM-002,16,1,28,49.0,1372.0,2025-02-06,10655
4,2025,MS-FRA-006,19,3,17,63.0,1071.0,2024-02-21,36827
10,2025,MS-DRS-004,10,5,7,39.0,273.0,2024-04-20,82536
5,2024,MS-ESS-004,13,3,16,63.0,1008.0,2025-02-14,21510
6,2024,MS-NUE-003,10,1,103,49.0,5047.0,2025-05-31,66424
10,2025,MS-DUI-005,4,2,29,58.0,1682.0,2025-02-07,74636
9,2025,MS-ESS-004,5,2,159,58.0,9222.0,2025-06-05,82981
1,2024,MS-BER-005,5,3,210,63.0,13230.0,2025-04-30,10469
3,2025,MS-DUI-004,17,2,88,58.0,5104.0,2025-09-19,54274
7,2024,MS-DUI-005,10,5,91,39.0,3549.0,2025-06-03,13652
12,2025,MS-NUE-005,10,4,213,49.0,10437.0,2024-01-18,89174
11,2025,MS-MUC-001,14,5,83,39.0,3237.0,2025-12-05,19390
10,2024,MS-DRS-004,9,5,152,39.0,5928.0,2024-08-21,6669
10,2024,MS-DRS-005,6,5,166,39.0,6474.0,2025-09-26,8473
3,2025,MS-STR-003,2,5,247,39.0,9633.0,2025-12-18,26934
1,2024,MS-BRE-003,11,4,43,49.0,2107.0,2025-02-26,6836
7,2024,MS-HAJ-003,20,4,228,49.0,11172.0,2024-03-04,6032
9,2024,MS-FRA-005,18,3,174,63.0,10962.0,2025-05-04,14977
6,2025,MS-FRA-001,15,5,92,39.0,3588.0,2025-07-13,74229
10,2025,MS-DRS-005,7,2,76,58.0,4408.0,2025-07-25,54406
5,2024,MS-DUS-003,7,4,86,49.0,4214.0,2025-05-06,88245
5,2025,MS-MUC-002,19,5,102,39.0,3978.0,2025-02-08,70248
5,2024,MS-BER-006,10,1,93,49.0,4557.0,2025-03-28,4052
12,2025,MS-DRS-005,7,2,216,58.0,12528.0,2025-07-05,35591
3,2025,MS-HAM-007,20,5,66,39.0,2574.0,2024-09-05,21904
11,2024,MS-STR-001,2,1,110,49.0,5390.0,2024-12-04,6384
2,2025,MS-MUC-004,1,5,242,39.0,9438.0,2024-06-10,96344
8,2025,MS-FRA-004,10,3,78,63.0,4914.0,2025-10-23,21277
11,2024,MS-NUE-006,8,5,194,39.0,7566.0,2024-02-08,28953
3,2025,MS-BER-005,13,4,52,49.0,2548.0,2024-10-23,24687
5,2024,MS-NUE-005,20,1,242,49.0,11858.0,2024-12-09,61779
11,2025,MS-NUE-002,17,4,232,49.0,11368.0,2024-05-17,10655
5,2025,MS-FRA-003,4,3,46,63.0,2898.0,2025-04-14,9767
12,2025,MS-FRA-002,1,3,207,63.0,13041.0,2024-10-29,15232
3,2024,MS-DUI-005,13,4,136,49.0,6664.0,2024-12-01,21783
11,2025,MS-HAM-006,6,2,127,58.0,7366.0,2024-11-27,36537
5,2024,MS-LEJ-003,8,4,197,49.0,9653.0,2024-09-30,56402
10,2025,MS-NUE-006,1,3,172,63.0,10836.0,2025-01-03,6763
1,2024,MS-MUC-002,15,3,45,63.0,2835.0,2025-02-19,6740
12,2025,MS-MUC-002,10,3,162,63.0,10206.0,2024-08-14,50153
8,2024,MS-CGN-001,15,5,100,39.0,3900.0,2025-03-01,6957
9,2025,MS-FRA-006,8,5,228,39.0,8892.0,2024-03-24,14977
9,2025,MS-ESS-004,3,5,33,39.0,1287.0,2024-03-04,16847
10,2024,MS-NUE-001,5,2,88,58.0,5104.0,2025-06-16,66093
11,2024,MS-FRA-005,19,4,28,49.0,1372.0,2025-06-06,66905
8,2024,MS-MUC-003,17,4,121,49.0,5929.0,2025-07-31,20442
11,2025,MS-DTM-002,1,4,70,49.0,3430.0,2024-01-04,7211
10,2024,MS-HAM-003,2,4,93,49.0,4557.0,2025-12-18,20311
2,2024,MS-DRS-004,2,3,109,63.0,6867.0,2024-07-03,8159
11,2024,MS-LEJ-007,12,4,119,49.0,5831.0,2025-01-21,73321
11,2024,MS-NUE-002,5,3,35,63.0,2205.0,2024-07-01,16057
9,2025,MS-MUC-003,8,1,198,49.0,9702.0,2024-01-24,54406
11,2025,MS-NUE-002,14,5,102,39.0,3978.0,2024-08-23,35931
6,2025,MS-CGN-001,9,2,244,58.0,14152.0,2024-04-25,24562
10,2025,MS-BER-003,8,2,22,58.0,1276.0,2024-04-13,17185
8,2024,MS-DUI-003,2,2,194,58.0,11252.0,2024-02-15,82981
4,2025,MS-NUE-002,7,1,40,49.0,1960.0,2025-05-30,36808
12,2024,MS-NUE-006,11,5,158,39.0,6162.0,2025-11-19,54349
5,2024,MS-MUC-005,17,2,110,58.0,6380.0,2024-11-03,64811
9,2024,MS-DUI-002,6,4,147,49.0,7203.0,2025-05-22,25446
11,2025,MS-LEJ-002,17,3,183,63.0,11529.0,2025-03-02,95561
5,2024,MS-LEJ-002,6,5,126,39.0,4914.0,2024-09-03,50451
12,2025,MS-MUC-005,15,1,148,49.0,7252.0,2025-02-26,92327
7,2024,MS-STR-003,9,2,89,58.0,5162.0,2025-10-24,22007
6,2025,MS-HAM-005,18,2,18,58.0,1044.0,2024-10-01,78127
2,2024,MS-FRA-003,19,5,60,39.0,2340.0,2025-05-05,46141
5,2025,MS-BER-002,7,2,194,58.0,11252.0,2024-04-30,8544
4,2025,MS-DUI-004,7,4,239,49.0,11711.0,2024-09-02,15646
5,2025,MS-LEJ-002,15,5,171,39.0,6669.0,2025-01-02,55633
6,2025,MS-HAJ-004,16,4,30,49.0,1470.0,2025-04-25,8961
4,2025,MS-LEJ-001,11,4,16,49.0,784.0,2025-07-30,48153
1,2024,MS-STR-005,18,5,153,39.0,5967.0,2025-03-03,55858
4,2024,MS-DTM-005,8,4,150,49.0,7350.0,2024-09-08,14935
5,2025,MS-HAJ-001,16,4,48,49.0,2352.0,2024-12-26,28930
12,2024,MS-NUE-002,16,2,239,58.0,13862.0,2025-07-09,5706
9,2024,MS-BER-005,3,1,200,49.0,9800.0,2024-01-07,90539
