jahr,monat,tarifverbund_id,ticket_code,bundesland_code2,anteil
2025,12,12,3,4,0.428
2025,12,12,3,6,0.1967
2025,12,12,3,13,0.3005
2025,12,12,3,9,0.0748
2024,3,19,5,6,0.4462
2024,3,19,5,13,0.0126
2024,3,19,5,15,0.373
2024,3,19,5,3,0.1682
2025,9,1,5,8,0.1621
2025,9,1,5,5,0.0164
2025,9,1,5,3,0.1995
2025,9,1,5,13,0.0846
2025,9,1,5,12,0.3892
2025,9,1,5,2,0.1482
2025,3,20,5,8,0.2622
2025,3,20,5,1,0.1833
2025,3,20,5,11,0.0457
2025,3,20,5,4,0.5088
2025,8,19,1,13,0.2967
2025,8,19,1,11,0.0364
2025,8,19,1,14,0.3065
2025,8,19,1,9,0.0564
2025,8,19,1,6,0.304
2025,5,5,1,2,0.2863
2025,5,5,1,16,0.1232
2025,5,5,1,10,0.2382
2025,5,5,1,7,0.2009
2025,5,5,1,6,0.1514
2025,6,9,4,7,0.2296
2025,6,9,4,5,0.1336
2025,6,9,4,1,0.1785
2025,6,9,4,12,0.1841
2025,6,9,4,16,0.1664
2025,6,9,4,14,0.0904
2025,6,9,4,9,0.0174
2024,12,6,4,11,0.1577
2024,12,6,4,10,0.0771
2024,12,6,4,6,0.1649
2024,12,6,4,16,0.1311
2024,12,6,4,2,0.0454
2024,12,6,4,5,0.1572
2024,12,6,4,9,0.0897
2024,12,6,4,13,0.1769
2024,1,17,3,10,0.1594
2024,1,17,3,7,0.1102
2024,1,17,3,9,0.4122
2024,1,17,3,1,0.3182
2024,9,2,5,15,0.1397
2024,9,2,5,8,0.2169
2024,9,2,5,16,0.2623
2024,9,2,5,11,0.2011
2024,9,2,5,4,0.18
2024,11,5,1,11,0.4925
2024,11,5,1,2,0.1645
2024,11,5,1,14,0.1458
2024,11,5,1,13,0.0179
2024,11,5,1,4,0.1793
2024,2,20,3,3,0.2224
2024,2,20,3,8,0.1189
2024,2,20,3,7,0.1237
2024,2,20,3,11,0.0457
2024,2,20,3,10,0.2129
2024,2,20,3,4,0.2764
2024,4,1,3,14,0.4093
2024,4,1,3,4,0.3542
2024,4,1,3,3,0.2365
2025,7,18,3,8,0.1232
2025,7,18,3,15,0.1821
2025,7,18,3,14,0.1098
2025,7,18,3,2,0.1751
2025,7,18,3,16,0.1643
2025,7,18,3,3,0.1129
2025,7,18,3,12,0.1326
2025,8,13,1,14,0.0778
2025,8,13,1,16,0.0742
2025,8,13,1,9,0.1913
2025,8,13,1,8,0.2298
2025,8,13,1,3,0.1564
2025,8,13,1,13,0.1881
2025,8,13,1,11,0.0824
2025,6,20,3,10,0.2565
2025,6,20,3,4,0.682
2025,6,20,3,5,0.0615
2024,4,2,4,8,0.4105
2024,4,2,4,7,0.0373
2024,4,2,4,12,0.2369
2024,4,2,4,3,0.3153
2025,10,5,1,2,0.2462
2025,10,5,1,4,0.0051
2025,10,5,1,14,0.2292
2025,10,5,1,7,0.1499
2025,10,5,1,13,0.1242
2025,10,5,1,10,0.2454
2025,1,11,3,13,0.3199
2025,1,11,3,14,0.2337
2025,1,11,3,15,0.2581
2025,1,11,3,7,0.0944
2025,1,11,3,9,0.0939
2024,3,11,2,16,0.1664
2024,3,11,2,1,0.151
2024,3,11,2,7,0.1752
2024,3,11,2,6,0.1917
2024,3,11,2,11,0.2044
2024,3,11,2,12,0.1113
2025,7,19,5,1,0.0744
2025,7,19,5,2,0.1066
2025,7,19,5,11,0.1341
2025,7,19,5,7,0.1863
2025,7,19,5,3,0.1383
2025,7,19,5,8,0.3603
2025,2,8,3,14,0.0075
2025,2,8,3,5,0.2108
2025,2,8,3,16,0.3908
2025,2,8,3,2,0.1368
2025,2,8,3,8,0.2541
2024,4,9,4,2,0.0687
2024,4,9,4,13,0.1365
2024,4,9,4,1,0.033
2024,4,9,4,4,0.2731
2024,4,9,4,15,0.134
2024,4,9,4,14,0.0738
2024,4,9,4,10,0.1063
2024,4,9,4,3,0.1746
2025,4,1,2,4,0.1736
2025,4,1,2,13,0.1076
2025,4,1,2,14,0.1697
2025,4,1,2,3,0.0701
2025,4,1,2,5,0.176
2025,4,1,2,2,0.0371
2025,4,1,2,10,0.1107
2025,4,1,2,1,0.1552
2024,3,4,2,4,0.3327
2024,3,4,2,12,0.2349
2024,3,4,2,13,0.0474
2024,3,4,2,5,0.385
2024,4,13,5,12,0.4801
2024,4,13,5,9,0.05
2024,4,13,5,7,0.4699
2025,8,6,2,14,0.062
2025,8,6,2,16,0.5645
2025,8,6,2,8,0.3735
2024,1,10,1,5,0.0827
2024,1,10,1,7,0.2474
2024,1,10,1,3,0.1648
2024,1,10,1,12,0.148
2024,1,10,1,9,0.1333
2024,1,10,1,11,0.2238
2025,8,3,4,11,0.3418
2025,8,3,4,14,0.0945
2025,8,3,4,4,0.1802
2025,8,3,4,2,0.2366
2025,8,3,4,5,0.1469
2025,2,10,1,16,0.1526
2025,2,10,1,14,0.178
2025,2,10,1,6,0.6694
2025,11,17,5,9,0.2908
2025,11,17,5,15,0.2703
2025,11,17,5,10,0.1
2025,11,17,5,12,0.1263
2025,11,17,5,5,0.2126
2024,7,19,4,8,0.251
2024,7,19,4,12,0.0294
2024,7,19,4,16,0.0701
2024,7,19,4,11,0.2189
2024,7,19,4,15,0.0969
2024,7,19,4,14,0.184
2024,7,19,4,13,0.1497
2025,8,8,5,12,0.1202
2025,8,8,5,7,0.1116
2025,8,8,5,16,0.0535
2025,8,8,5,9,0.0855
2025,8,8,5,6,0.0531
2025,8,8,5,14,0.2378
2025,8,8,5,8,0.3383
2025,8,20,2,7,0.1243
2025,8,20,2,4,0.2652
2025,8,20,2,12,0.342
2025,8,20,2,8,0.2685
2025,1,20,3,7,0.2632
2025,1,20,3,5,0.2204
2025,1,20,3,4,0.5164
2024,1,1,5,9,0.1112
2024,1,1,5,1,0.3594
2024,1,1,5,15,0.2428
2024,1,1,5,16,0.2866
2024,12,3,2,1,0.429
2024,12,3,2,10,0.4025
2024,12,3,2,5,0.1685
2025,12,15,5,9,0.1699
2025,12,15,5,14,0.0974
2025,12,15,5,8,0.7327
2025,6,6,3,2,0.2472
2025,6,6,3,3,0.0294
2025,6,6,3,15,0.1901
2025,6,6,3,13,0.1507
2025,6,6,3,10,0.1966
2025,6,6,3,5,0.0561
2025,6,6,3,16,0.1299
2024,2,14,1,15,0.1848
2024,2,14,1,5,0.0196
2024,2,14,1,14,0.3121
2024,2,14,1,10,0.0323
2024,2,14,1,7,0.2479
2024,2,14,1,16,0.2033
2025,2,2,2,3,0.053
2025,2,2,2,16,0.0019
2025,2,2,2,4,0.3188
2025,2,2,2,15,0.4202
2025,2,2,2,9,0.2061
2025,2,5,5,10,0.6016
2025,2,5,5,12,0.0498
2025,2,5,5,5,0.1634
2025,2,5,5,15,0.1852
2025,8,4,1,7,0.2664
2025,8,4,1,16,0.023
2025,8,4,1,2,0.0535
2025,8,4,1,9,0.0991
2025,8,4,1,4,0.2414
2025,8,4,1,11,0.1835
2025,8,4,1,3,0.093
2025,8,4,1,5,0.0401
2025,9,4,4,10,0.0268
2025,9,4,4,12,0.0132
2025,9,4,4,7,0.1433
2025,9,4,4,5,0.1069
2025,9,4,4,9,0.0831
2025,9,4,4,15,0.0303
2025,9,4,4,8,0.3191
2025,9,4,4,16,0.2773
2024,3,7,3,1,0.1196
2024,3,7,3,13,0.1657
2024,3,7,3,11,0.233
2024,3,7,3,5,0.0462
2024,3,7,3,10,0.1489
2024,3,7,3,16,0.1615
2024,3,7,3,3,0.1251
2025,10,17,4,16,0.179
2025,10,17,4,6,0.3601
2025,10,17,4,7,0.4609
2024,11,16,4,14,0.307
2024,11,16,4,12,0.2643
2024,11,16,4,8,0.1787
2024,11,16,4,5,0.1478
2024,11,16,4,11,0.1022
2025,6,4,5,4,0.304
2025,6,4,5,13,0.2509
2025,6,4,5,7,0.1911
2025,6,4,5,9,0.0867
2025,6,4,5,1,0.1673
2024,11,14,4,15,0.0536
2024,11,14,4,13,0.1179
2024,11,14,4,1,0.3605
2024,11,14,4,4,0.1984
2024,11,14,4,5,0.0118
2024,11,14,4,9,0.2578
2025,11,20,4,6,0.2166
2025,11,20,4,5,0.0365
2025,11,20,4,9,0.389
2025,11,20,4,1,0.3579
2025,1,12,4,4,0.15
2025,1,12,4,11,0.0806
2025,1,12,4,14,0.2461
2025,1,12,4,3,0.289
2025,1,12,4,8,0.0718
2025,1,12,4,5,0.1625
2025,3,14,5,7,0.2281
2025,3,14,5,15,0.0729
2025,3,14,5,10,0.2086
2025,3,14,5,9,0.1096
2025,3,14,5,12,0.2467
2025,3,14,5,3,0.1341
2024,1,18,1,10,0.4031
2024,1,18,1,12,0.2792
2024,1,18,1,5,0.3177
2024,11,19,3,15,0.1382
2024,11,19,3,9,0.3172
2024,11,19,3,8,0.1568
2024,11,19,3,6,0.3878
2025,8,5,4,8,0.416
2025,8,5,4,10,0.1996
2025,8,5,4,7,0.1546
2025,8,5,4,4,0.2298
2025,1,18,4,13,0.2893
2025,1,18,4,11,0.0379
2025,1,18,4,16,0.2896
2025,1,18,4,15,0.0996
2025,1,18,4,3,0.0301
2025,1,18,4,8,0.2535
2024,4,10,2,15,0.0727
2024,4,10,2,1,0.4387
2024,4,10,2,12,0.4886
2024,9,3,2,16,0.2013
2024,9,3,2,13,0.4121
2024,9,3,2,5,0.3866
2025,6,3,4,13,0.3449
2025,6,3,4,6,0.0142
2025,6,3,4,11,0.0271
2025,6,3,4,12,0.2496
2025,6,3,4,8,0.3642
2024,5,2,3,3,0.2397
2024,5,2,3,7,0.33
2024,5,2,3,2,0.1678
2024,5,2,3,13,0.2625
2025,12,20,4,2,0.0664
2025,12,20,4,6,0.4241
2025,12,20,4,13,0.5095
2024,12,13,4,14,0.1336
2024,12,13,4,10,0.13
2024,12,13,4,11,0.4524
2024,12,13,4,13,0.284
2025,10,14,1,8,0.071
2025,10,14,1,16,0.0026
2025,10,14,1,10,0.2239
2025,10,14,1,3,0.2508
2025,10,14,1,4,0.1886
2025,10,14,1,15,0.044
2025,10,14,1,5,0.1229
2025,10,14,1,11,0.0962
2024,3,5,5,10,0.0578
2024,3,5,5,11,0.1117
2024,3,5,5,7,0.1403
2024,3,5,5,12,0.0689
2024,3,5,5,5,0.1661
2024,3,5,5,8,0.1669
2024,3,5,5,13,0.2883
2025,9,3,2,1,0.0023
2025,9,3,2,14,0.2447
2025,9,3,2,11,0.2201
2025,9,3,2,7,0.2754
2025,9,3,2,5,0.2575
2024,10,10,5,16,0.112
2024,10,10,5,14,0.1092
2024,10,10,5,5,0.1192
2024,10,10,5,13,0.1268
2024,10,10,5,4,0.1159
2024,10,10,5,10,0.1475
2024,10,10,5,6,0.1105
2024,10,10,5,12,0.1589
2025,5,16,3,2,0.0259
2025,5,16,3,5,0.0847
2025,5,16,3,13,0.2147
2025,5,16,3,8,0.0504
2025,5,16,3,1,0.038
2025,5,16,3,10,0.1549
2025,5,16,3,6,0.279
2025,5,16,3,3,0.1524
2024,9,10,5,6,0.324
2024,9,10,5,5,0.147
2024,9,10,5,14,0.05
2024,9,10,5,8,0.4179
2024,9,10,5,15,0.0611
2024,8,1,1,13,0.2143
2024,8,1,1,14,0.4632
2024,8,1,1,16,0.0082
2024,8,1,1,9,0.3143
2025,3,2,5,12,0.1206
2025,3,2,5,11,0.2023
2025,3,2,5,16,0.1177
2025,3,2,5,15,0.2138
2025,3,2,5,5,0.1493
2025,3,2,5,10,0.1963
2024,2,13,1,11,0.2596
2024,2,13,1,15,0.0863
2024,2,13,1,10,0.1166
2024,2,13,1,4,0.0399
2024,2,13,1,16,0.2701
2024,2,13,1,2,0.0869
2024,2,13,1,8,0.1406
2025,8,9,3,8,0.1077
2025,8,9,3,15,0.3601
2025,8,9,3,9,0.5322
2025,10,6,4,14,0.1626
2025,10,6,4,10,0.2481
2025,10,6,4,12,0.0739
2025,10,6,4,16,0.1823
2025,10,6,4,3,0.0574
2025,10,6,4,7,0.1175
2025,10,6,4,2,0.0624
2025,10,6,4,8,0.0958
2024,3,8,1,12,0.2058
2024,3,8,1,9,0.2016
2024,3,8,1,11,0.1751
2024,3,8,1,6,0.0195
2024,3,8,1,1,0.0451
2024,3,8,1,7,0.1359
2024,3,8,1,5,0.2063
2024,3,8,1,4,0.0107
2024,8,4,3,8,0.0323
2024,8,4,3,3,0.3598
2024,8,4,3,13,0.0974
2024,8,4,3,10,0.1015
2024,8,4,3,4,0.409
2025,1,9,3,5,0.5508
2025,1,9,3,13,0.0929
2025,1,9,3,10,0.0834
2025,1,9,3,1,0.1609
2025,1,9,3,16,0.112
2024,8,3,1,1,0.0434
2024,8,3,1,3,0.0131
2024,8,3,1,16,0.1851
2024,8,3,1,6,0.1313
2024,8,3,1,4,0.1861
2024,8,3,1,10,0.1188
2024,8,3,1,13,0.1941
2024,8,3,1,14,0.1281
2025,12,18,4,15,0.5335
2025,12,18,4,9,0.0245
2025,12,18,4,4,0.442
2024,8,15,3,10,0.2153
2024,8,15,3,8,0.1537
2024,8,15,3,11,0.2852
2024,8,15,3,1,0.023
2024,8,15,3,13,0.0253
2024,8,15,3,15,0.1907
2024,8,15,3,7,0.0206
2024,8,15,3,16,0.0862
2024,11,14,5,11,0.0222
2024,11,14,5,7,0.1573
2024,11,14,5,10,0.1912
2024,11,14,5,9,0.1459
2024,11,14,5,5,0.1724
2024,11,14,5,8,0.1616
2024,11,14,5,13,0.0482
2024,11,14,5,15,0.1012
2024,3,6,3,14,0.2274
2024,3,6,3,6,0.4161
2024,3,6,3,16,0.1783
2024,3,6,3,8,0.1782
2024,12,13,5,12,0.0528
2024,12,13,5,3,0.0495
2024,12,13,5,11,0.2503
2024,12,13,5,8,0.4315
2024,12,13,5,2,0.2159
2024,4,5,3,2,0.2241
2024,4,5,3,10,0.0831
2024,4,5,3,9,0.2404
2024,4,5,3,14,0.4524
2025,2,13,4,2,0.2202
2025,2,13,4,5,0.081
2025,2,13,4,10,0.2502
2025,2,13,4,15,0.0854
2025,2,13,4,6,0.0412
2025,2,13,4,16,0.322
2024,5,18,2,4,0.1989
2024,5,18,2,13,0.2082
2024,5,18,2,5,0.2401
2024,5,18,2,10,0.2016
2024,5,18,2,16,0.1512
2024,8,5,1,1,0.2107
2024,8,5,1,10,0.0926
2024,8,5,1,11,0.1019
2024,8,5,1,12,0.0018
2024,8,5,1,5,0.2607
2024,8,5,1,16,0.1697
2024,8,5,1,3,0.1201
2024,8,5,1,13,0.0425
2024,9,12,2,1,0.1109
2024,9,12,2,2,0.1205
2024,9,12,2,12,0.2349
2024,9,12,2,9,0.2529
2024,9,12,2,4,0.1848
2024,9,12,2,7,0.0277
2024,9,12,2,11,0.0171
2024,9,12,2,8,0.0512
2024,10,15,5,2,0.1745
2024,10,15,5,11,0.1588
2024,10,15,5,16,0.0982
2024,10,15,5,5,0.2713
2024,10,15,5,8,0.0409
2024,10,15,5,15,0.1545
2024,10,15,5,7,0.1018
2025,10,3,1,16,0.0038
2025,10,3,1,9,0.151
2025,10,3,1,11,0.1058
2025,10,3,1,5,0.0688
2025,10,3,1,1,0.128
2025,10,3,1,4,0.1644
2025,10,3,1,7,0.0039
2025,10,3,1,12,0.3743
2024,7,18,1,5,0.127
2024,7,18,1,7,0.3085
2024,7,18,1,9,0.3689
2024,7,18,1,12,0.1956
2025,9,20,4,2,0.2388
2025,9,20,4,7,0.2377
2025,9,20,4,1,0.2941
2025,9,20,4,8,0.1731
2025,9,20,4,16,0.0477
2025,9,20,4,6,0.0086
2024,10,6,1,6,0.3426
2024,10,6,1,13,0.0328
2024,10,6,1,10,0.3146
2024,10,6,1,8,0.0906
2024,10,6,1,12,0.2194
2025,11,3,3,3,0.1151
2025,11,3,3,7,0.0582
2025,11,3,3,14,0.1766
2025,11,3,3,5,0.0394
2025,11,3,3,12,0.1764
2025,11,3,3,6,0.3134
2025,11,3,3,4,0.1209
2024,2,4,1,5,0.1577
2024,2,4,1,4,0.1359
2024,2,4,1,2,0.0367
2024,2,4,1,3,0.1602
2024,2,4,1,16,0.1024
2024,2,4,1,15,0.1564
2024,2,4,1,13,0.1576
2024,2,4,1,10,0.0931
2024,7,17,3,11,0.1388
2024,7,17,3,14,0.187
2024,7,17,3,16,0.2359
2024,7,17,3,6,0.1752
2024,7,17,3,3,0.1043
2024,7,17,3,8,0.022
2024,7,17,3,2,0.1368
2025,4,15,5,2,0.1504
2025,4,15,5,6,0.3377
2025,4,15,5,14,0.5119
2024,9,15,2,13,0.2472
2024,9,15,2,8,0.3532
2024,9,15,2,10,0.3996
2024,8,12,5,7,0.2321
2024,8,12,5,6,0.1093
2024,8,12,5,10,0.1967
2024,8,12,5,8,0.2031
2024,8,12,5,9,0.2383
2024,8,12,5,3,0.0205
2024,12,1,3,6,0.1381
2024,12,1,3,1,0.0824
2024,12,1,3,4,0.2079
2024,12,1,3,12,0.0877
2024,12,1,3,8,0.1754
2024,12,1,3,13,0.1537
2024,12,1,3,9,0.0119
2024,12,1,3,10,0.1429
2025,2,9,4,3,0.1265
2025,2,9,4,6,0.0824
2025,2,9,4,2,0.2785
2025,2,9,4,9,0.3155
2025,2,9,4,11,0.1971
2025,5,6,1,11,0.0656
2025,5,6,1,2,0.1621
2025,5,6,1,10,0.4485
2025,5,6,1,16,0.3238
2024,11,7,3,5,0.0893
2024,11,7,3,10,0.1876
2024,11,7,3,12,0.1927
2024,11,7,3,2,0.1588
2024,11,7,3,16,0.1965
2024,11,7,3,9,0.1751
2024,2,10,1,3,0.077
2024,2,10,1,11,0.2372
2024,2,10,1,15,0.0852
2024,2,10,1,7,0.191
2024,2,10,1,9,0.0479
2024,2,10,1,6,0.2493
2024,2,10,1,1,0.0386
2024,2,10,1,14,0.0738
2024,3,6,4,2,0.419
2024,3,6,4,11,0.2955
2024,3,6,4,6,0.2855
2024,8,11,5,6,0.3531
2024,8,11,5,3,0.3706
2024,8,11,5,14,0.0758
2024,8,11,5,12,0.2005
2025,12,4,1,12,0.0909
2025,12,4,1,11,0.2388
2025,12,4,1,16,0.1432
2025,12,4,1,4,0.1704
2025,12,4,1,8,0.0987
2025,12,4,1,10,0.258
2025,12,2,3,7,0.2719
2025,12,2,3,6,0.2749
2025,12,2,3,11,0.1776
2025,12,2,3,10,0.1479
2025,12,2,3,8,0.0572
2025,12,2,3,12,0.0705
2024,11,20,2,5,0.1509
2024,11,20,2,14,0.0279
2024,11,20,2,16,0.2302
2024,11,20,2,1,0.2316
2024,11,20,2,11,0.0776
2024,11,20,2,8,0.2076
2024,11,20,2,6,0.0742
2024,7,2,5,5,0.3312
2024,7,2,5,14,0.1478
2024,7,2,5,7,0.1412
2024,7,2,5,2,0.1332
2024,7,2,5,4,0.1375
2024,7,2,5,8,0.0291
2024,7,2,5,6,0.08
2024,2,6,1,4,0.2887
2024,2,6,1,14,0.0502
2024,2,6,1,12,0.1046
2024,2,6,1,11,0.3026
2024,2,6,1,6,0.2539
2025,5,14,2,16,0.7022
2025,5,14,2,8,0.0147
2025,5,14,2,10,0.1672
2025,5,14,2,1,0.1159
2024,9,9,4,14,0.0586
2024,9,9,4,2,0.1571
2024,9,9,4,13,0.1531
2024,9,9,4,5,0.0154
2024,9,9,4,4,0.2057
2024,9,9,4,16,0.1229
2024,9,9,4,15,0.1318
2024,9,9,4,1,0.1554
2024,8,19,2,8,0.0976
2024,8,19,2,12,0.1578
2024,8,19,2,3,0.0518
2024,8,19,2,5,0.1848
2024,8,19,2,7,0.1447
2024,8,19,2,1,0.0997
2024,8,19,2,10,0.2636
2024,10,19,1,1,0.262
2024,10,19,1,7,0.0677
2024,10,19,1,14,0.0043
2024,10,19,1,8,0.2105
2024,10,19,1,16,0.0921
2024,10,19,1,11,0.1957
2024,10,19,1,15,0.1677
2024,4,6,1,11,0.2073
2024,4,6,1,3,0.1708
2024,4,6,1,1,0.2447
2024,4,6,1,6,0.1194
2024,4,6,1,9,0.0455
2024,4,6,1,13,0.0336
2024,4,6,1,15,0.1787
2024,12,4,2,2,0.1343
2024,12,4,2,5,0.132
2024,12,4,2,4,0.1695
2024,12,4,2,1,0.3471
2024,12,4,2,14,0.2015
2024,12,4,2,13,0.0156
2024,12,3,1,7,0.0254
2024,12,3,1,5,0.0755
2024,12,3,1,6,0.1824
2024,12,3,1,13,0.1524
2024,12,3,1,1,0.1835
2024,12,3,1,11,0.0793
2024,12,3,1,14,0.1997
2024,12,3,1,15,0.1018
2025,3,7,2,12,0.2347
2025,3,7,2,15,0.0255
2025,3,7,2,13,0.1945
2025,3,7,2,9,0.2655
2025,3,7,2,5,0.1761
2025,3,7,2,2,0.1037
2025,6,10,2,11,0.2296
2025,6,10,2,16,0.4513
2025,6,10,2,5,0.3191
2025,10,20,4,15,0.0577
2025,10,20,4,6,0.2059
2025,10,20,4,8,0.1992
2025,10,20,4,1,0.0158
2025,10,20,4,12,0.134
2025,10,20,4,16,0.0763
2025,10,20,4,10,0.1683
2025,10,20,4,7,0.1428
2024,9,12,3,5,0.5457
2024,9,12,3,14,0.3527
2024,9,12,3,10,0.1016
2025,7,16,4,12,0.0322
2025,7,16,4,6,0.1524
2025,7,16,4,7,0.4469
2025,7,16,4,10,0.3685
2024,7,20,2,3,0.1376
2024,7,20,2,10,0.1221
2024,7,20,2,16,0.4207
2024,7,20,2,9,0.0113
2024,7,20,2,6,0.0815
2024,7,20,2,7,0.2268
2025,3,5,3,4,0.242
2025,3,5,3,5,0.0694
2025,3,5,3,13,0.2226
2025,3,5,3,15,0.1193
2025,3,5,3,12,0.0298
2025,3,5,3,8,0.2071
2025,3,5,3,16,0.1098
2024,7,18,3,15,0.1695
2024,7,18,3,2,0.0895
2024,7,18,3,13,0.0925
2024,7,18,3,11,0.0486
2024,7,18,3,6,0.2188
2024,7,18,3,14,0.2159
2024,7,18,3,12,0.0537
2024,7,18,3,16,0.1115
2025,7,19,4,4,0.1423
2025,7,19,4,16,0.2969
2025,7,19,4,13,0.2169
2025,7,19,4,3,0.3439
2025,7,12,5,5,0.2556
2025,7,12,5,10,0.1838
2025,7,12,5,2,0.1344
2025,7,12,5,14,0.1967
2025,7,12,5,16,0.2106
2025,7,12,5,7,0.0189
