log_id,dateiname,schritt,level,nachricht,fehler_details,erstellt_von_user_id,erstellt_am,geaendert_von_user_id,geaendert_am
20,TICKET_VERKAEUFE_TV6_2025_06_korrigiert.csv,validate,info,Verarbeitung gestartet,,61,2025-11-17 14:29:30,,
21,TICKET_VERKAEUFE_TV8_2024_04.csv,ingest,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,35,2024-01-28 09:33:13,13,2024-12-04 13:22:33
22,TICKET_VERKAEUFE_TV11_2024_05_testlauf.csv,validate,info,Verarbeitung gestartet,,,2025-07-04 17:34:53,,
23,SONSTIGE_ANGEBOTE_TV19_2025_12_final.csv,validate,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,71,2025-11-29 17:22:48,4,
24,PLAN_UMSATZ_TV18_2025_06.csv,ingest,info,Verarbeitung gestartet,,,2024-06-20 22:24:20,,
25,PLAN_UMSATZ_TV20_2024_12_final.csv,export,info,Verarbeitung gestartet,,58,2025-02-27 05:32:36,17,
26,SONSTIGE_ANGEBOTE_TV17_2024_06.csv,ingest,info,Verarbeitung gestartet,,54,2024-09-27 07:10:45,,2024-11-06 18:50:03
27,TICKET_VERKAEUFE_TV12_2024_04.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,77,2024-08-29 09:45:45,,2024-05-30 14:57:16
28,SONSTIGE_ANGEBOTE_TV12_2024_10_v1.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,40,2024-11-09 20:24:11,,
29,SONSTIGE_ANGEBOTE_TV18_2025_07_final.csv,export,info,Verarbeitung gestartet,,70,2025-04-20 14:29:48,,
30,PLAN_UMSATZ_TV19_2024_02_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,27,2025-12-02 03:12:38,16,2025-11-10 15:26:40
31,TICKET_VERKAEUFE_TV20_2025_11_testlauf.csv,aggregate,warning,Verarbeitung mit Warnungen,,17,2025-07-22 15:14:11,57,2024-02-08 12:39:12
32,SONSTIGE_ANGEBOTE_TV14_2025_11.csv,export,info,Verarbeitung gestartet,,39,2024-03-14 17:03:19,,
33,PLAN_UMSATZ_TV4_2024_07.csv,aggregate,success,Verarbeitung erfolgreich,,,2025-04-09 07:33:09,36,
34,TICKET_VERKAEUFE_TV8_2025_09.csv,export,info,Verarbeitung gestartet,,,2025-06-11 07:44:18,,
35,PLAN_UMSATZ_TV18_2025_05.csv,aggregate,info,Verarbeitung gestartet,,,2025-07-28 10:13:54,,2024-09-12 16:01:47
36,SONSTIGE_ANGEBOTE_TV9_2024_08_v1.csv,export,success,Verarbeitung erfolgreich,,65,2024-11-26 01:08:52,41,2025-04-07 19:53:35
37,SONSTIGE_ANGEBOTE_TV13_2025_12_testlauf.csv,ingest,info,Verarbeitung gestartet,,26,2024-11-29 11:00:29,,
38,TICKET_VERKAEUFE_TV1_2025_05_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,22,2025-05-25 17:34:24,,2025-06-04 18:47:35
39,SONSTIGE_ANGEBOTE_TV7_2025_06_final.csv,ingest,info,Verarbeitung gestartet,,40,2024-07-16 23:42:59,,2024-10-02 07:28:36
40,TICKET_VERKAEUFE_TV2_2024_06_final.csv,validate,warning,Verarbeitung mit Warnungen,,,2024-09-07 19:38:16,,
41,SONSTIGE_ANGEBOTE_TV9_2024_06.csv,export,info,Verarbeitung gestartet,,52,2024-10-08 23:19:21,52,
42,SONSTIGE_ANGEBOTE_TV19_2025_10_testlauf.csv,aggregate,error,Verarbeitung fehlgeschlagen,PLZ ungültig,29,2025-12-30 09:21:49,,2024-10-04 20:59:52
43,PLAN_UMSATZ_TV9_2024_01.csv,validate,info,Verarbeitung gestartet,,,2024-05-14 10:24:46,20,
44,PLAN_UMSATZ_TV18_2024_08_korrigiert.csv,ingest,info,Verarbeitung gestartet,,52,2025-06-20 11:28:26,17,
45,PLAN_UMSATZ_TV18_2025_06.csv,validate,info,Verarbeitung gestartet,,47,2025-12-21 02:16:35,,2025-05-09 11:43:36
46,TICKET_VERKAEUFE_TV1_2024_12_testlauf.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-08-12 15:49:12,,
47,PLAN_UMSATZ_TV10_2025_03_v1.csv,export,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,70,2024-01-22 11:38:45,,
48,SONSTIGE_ANGEBOTE_TV11_2024_08_korrigiert.csv,ingest,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,70,2024-05-27 07:36:43,,2024-03-24 12:30:33
49,TICKET_VERKAEUFE_TV9_2024_01.csv,ingest,info,Verarbeitung gestartet,,6,2025-10-05 23:35:57,,2024-11-19 12:56:49
50,SONSTIGE_ANGEBOTE_TV5_2025_06.csv,ingest,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,78,2024-03-18 11:49:16,52,
51,SONSTIGE_ANGEBOTE_TV8_2025_02.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,17,2024-04-03 02:04:00,,
52,TICKET_VERKAEUFE_TV7_2025_11.csv,export,info,Verarbeitung gestartet,,77,2025-08-11 11:05:45,,
53,SONSTIGE_ANGEBOTE_TV5_2025_02.csv,export,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,48,2024-03-12 11:42:28,5,2024-05-19 11:47:59
54,SONSTIGE_ANGEBOTE_TV9_2024_01_final.csv,validate,info,Verarbeitung gestartet,,,2024-12-19 06:44:41,,2025-01-06 15:15:47
55,PLAN_UMSATZ_TV15_2024_02_final.csv,export,info,Verarbeitung gestartet,,77,2025-04-14 20:27:05,61,
56,PLAN_UMSATZ_TV9_2024_04_testlauf.csv,ingest,success,Verarbeitung erfolgreich,,61,2025-04-27 06:04:16,,
57,TICKET_VERKAEUFE_TV20_2025_06_korrigiert.csv,validate,success,Verarbeitung erfolgreich,,22,2025-06-08 12:43:53,30,2024-05-26 11:57:19
58,PLAN_UMSATZ_TV15_2024_08.csv,validate,info,Verarbeitung gestartet,,39,2025-08-17 10:11:16,32,2024-01-03 11:43:16
59,PLAN_UMSATZ_TV10_2025_10_testlauf.csv,validate,info,Verarbeitung gestartet,,10,2024-10-26 18:02:23,,
60,PLAN_UMSATZ_TV17_2024_09.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2025-02-03 07:36:56,,2024-06-17 07:24:39
61,PLAN_UMSATZ_TV2_2025_03_v1.csv,ingest,info,Verarbeitung gestartet,,22,2024-06-08 12:12:25,,
62,PLAN_UMSATZ_TV20_2025_02.csv,export,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,32,2024-10-06 21:36:44,29,
63,PLAN_UMSATZ_TV3_2024_01_testlauf.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2025-05-18 10:33:02,,
64,SONSTIGE_ANGEBOTE_TV15_2025_03_v1.csv,aggregate,success,Verarbeitung erfolgreich,,78,2024-08-20 05:13:03,,2025-07-26 20:54:30
65,SONSTIGE_ANGEBOTE_TV5_2024_09_korrigiert.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2025-06-26 12:17:34,47,
66,TICKET_VERKAEUFE_TV4_2025_09.csv,validate,info,Verarbeitung gestartet,,76,2025-12-20 21:19:36,4,
67,TICKET_VERKAEUFE_TV13_2024_04_v1.csv,aggregate,info,Verarbeitung gestartet,,,2024-08-13 18:03:07,,2025-03-16 08:21:32
68,PLAN_UMSATZ_TV9_2024_07.csv,export,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,,2025-06-03 20:36:27,,
69,PLAN_UMSATZ_TV17_2024_07.csv,validate,warning,Verarbeitung mit Warnungen,,40,2025-09-01 12:58:19,,2024-02-05 12:18:05
70,SONSTIGE_ANGEBOTE_TV4_2025_08_korrigiert.csv,export,info,Verarbeitung gestartet,,27,2024-08-24 00:30:49,27,2025-09-29 00:32:39
71,SONSTIGE_ANGEBOTE_TV20_2024_01_final.csv,validate,info,Verarbeitung gestartet,,,2025-11-22 05:08:19,35,
72,TICKET_VERKAEUFE_TV10_2025_06_korrigiert.csv,validate,info,Verarbeitung gestartet,,37,2024-06-04 09:52:46,,
73,SONSTIGE_ANGEBOTE_TV19_2025_10_testlauf.csv,export,info,Verarbeitung gestartet,,50,2025-01-21 20:08:08,,
74,PLAN_UMSATZ_TV5_2025_12_v1.csv,export,info,Verarbeitung gestartet,,,2025-03-05 12:57:27,37,2025-02-26 22:46:42
75,SONSTIGE_ANGEBOTE_TV3_2024_01_v1.csv,validate,info,Verarbeitung gestartet,,,2024-03-19 16:53:17,27,
76,SONSTIGE_ANGEBOTE_TV17_2024_06.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,77,2025-07-23 16:34:11,,
77,SONSTIGE_ANGEBOTE_TV13_2025_01.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,62,2024-12-01 06:18:00,,
78,TICKET_VERKAEUFE_TV18_2024_05_testlauf.csv,aggregate,info,Verarbeitung gestartet,,58,2025-11-21 23:22:37,12,
79,TICKET_VERKAEUFE_TV3_2025_04.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,41,2024-05-08 03:30:29,,2025-10-25 23:28:44
80,TICKET_VERKAEUFE_TV7_2025_11.csv,aggregate,info,Verarbeitung gestartet,,10,2024-11-04 18:36:41,40,2024-09-27 22:36:02
81,TICKET_VERKAEUFE_TV6_2025_03.csv,ingest,info,Verarbeitung gestartet,,,2024-02-29 10:26:14,56,2024-09-17 10:17:02
82,SONSTIGE_ANGEBOTE_TV12_2025_03_korrigiert.csv,validate,info,Verarbeitung gestartet,,63,2024-04-24 02:39:08,75,2025-06-02 16:22:06
83,SONSTIGE_ANGEBOTE_TV4_2025_10.csv,validate,success,Verarbeitung erfolgreich,,41,2025-10-23 11:56:58,,2025-03-09 01:23:07
84,TICKET_VERKAEUFE_TV18_2024_05_testlauf.csv,validate,info,Verarbeitung gestartet,,,2024-12-21 04:14:11,31,
85,SONSTIGE_ANGEBOTE_TV12_2024_10_v1.csv,ingest,warning,Verarbeitung mit Warnungen,,69,2024-02-18 02:00:15,,2025-05-11 07:50:44
86,TICKET_VERKAEUFE_TV1_2024_01.csv,export,info,Verarbeitung gestartet,,,2025-08-06 15:01:04,,
87,TICKET_VERKAEUFE_TV4_2025_04_v1.csv,export,info,Verarbeitung gestartet,,80,2024-08-11 15:34:21,,2024-01-15 18:49:32
88,TICKET_VERKAEUFE_TV13_2025_07_testlauf.csv,validate,info,Verarbeitung gestartet,,72,2025-11-15 04:56:51,,
89,PLAN_UMSATZ_TV17_2024_06.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-02-14 02:19:01,56,
90,SONSTIGE_ANGEBOTE_TV20_2024_02_v1.csv,validate,success,Verarbeitung erfolgreich,,29,2025-12-24 01:33:20,,
91,PLAN_UMSATZ_TV3_2024_12_v1.csv,export,info,Verarbeitung gestartet,,1,2024-08-09 13:11:11,,2025-10-08 20:08:24
92,TICKET_VERKAEUFE_TV20_2025_06_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,1,2025-10-06 13:27:31,,
93,SONSTIGE_ANGEBOTE_TV6_2024_03_korrigiert.csv,ingest,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,1,2025-09-26 04:11:45,53,
94,PLAN_UMSATZ_TV20_2025_08_korrigiert.csv,ingest,warning,Verarbeitung mit Warnungen,,,2024-04-29 17:24:27,,2024-07-05 08:30:20
95,PLAN_UMSATZ_TV10_2025_03_v1.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,51,2025-09-23 16:31:32,66,
96,PLAN_UMSATZ_TV10_2024_05.csv,validate,success,Verarbeitung erfolgreich,,54,2025-07-24 01:02:48,23,
97,PLAN_UMSATZ_TV1_2024_04.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,14,2024-04-28 11:12:59,50,
98,PLAN_UMSATZ_TV6_2024_11_korrigiert.csv,ingest,info,Verarbeitung gestartet,,63,2024-08-04 02:36:30,,2024-06-18 11:09:53
99,SONSTIGE_ANGEBOTE_TV11_2024_11_testlauf.csv,validate,info,Verarbeitung gestartet,,,2024-06-17 01:36:24,,
100,SONSTIGE_ANGEBOTE_TV17_2024_02_final.csv,aggregate,info,Verarbeitung gestartet,,,2024-02-24 17:16:33,,
101,TICKET_VERKAEUFE_TV10_2025_08_korrigiert.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-12-06 02:09:43,,
102,TICKET_VERKAEUFE_TV17_2025_12_testlauf.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,24,2024-08-23 05:39:12,,2024-11-26 18:19:30
103,TICKET_VERKAEUFE_TV5_2024_06.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,50,2024-09-19 01:20:19,,2025-08-14 09:25:54
104,TICKET_VERKAEUFE_TV2_2025_03.csv,validate,info,Verarbeitung gestartet,,78,2024-10-04 15:40:38,,2025-05-20 23:22:41
105,PLAN_UMSATZ_TV6_2025_07_final.csv,validate,info,Verarbeitung gestartet,,,2024-07-29 10:13:37,52,
106,PLAN_UMSATZ_TV12_2024_02.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,37,2024-06-05 13:39:55,,
107,SONSTIGE_ANGEBOTE_TV12_2024_03_korrigiert.csv,validate,info,Verarbeitung gestartet,,73,2024-01-08 23:20:04,,
108,SONSTIGE_ANGEBOTE_TV9_2024_01_final.csv,export,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,52,2025-05-23 02:57:48,,
109,PLAN_UMSATZ_TV2_2024_06_final.csv,ingest,info,Verarbeitung gestartet,,,2025-09-30 08:38:54,39,
110,PLAN_UMSATZ_TV8_2025_05_final.csv,ingest,info,Verarbeitung gestartet,,38,2024-12-15 17:20:27,4,2025-01-16 23:55:54
111,SONSTIGE_ANGEBOTE_TV8_2025_04.csv,export,info,Verarbeitung gestartet,,27,2025-01-04 08:37:22,38,2024-01-29 22:18:52
112,PLAN_UMSATZ_TV18_2025_06.csv,ingest,info,Verarbeitung gestartet,,29,2025-04-25 21:17:49,29,
113,SONSTIGE_ANGEBOTE_TV11_2025_04_final.csv,export,info,Verarbeitung gestartet,,72,2024-11-13 16:53:32,17,
114,SONSTIGE_ANGEBOTE_TV14_2025_02.csv,export,success,Verarbeitung erfolgreich,,61,2025-10-23 00:32:41,59,2025-11-28 00:21:21
115,SONSTIGE_ANGEBOTE_TV16_2024_04.csv,validate,info,Verarbeitung gestartet,,20,2024-06-17 03:42:14,,
116,PLAN_UMSATZ_TV17_2025_08_testlauf.csv,ingest,info,Verarbeitung gestartet,,3,2024-12-11 03:40:11,,
117,TICKET_VERKAEUFE_TV9_2024_08_v1.csv,ingest,success,Verarbeitung erfolgreich,,67,2025-10-15 06:40:06,,
118,PLAN_UMSATZ_TV4_2024_11.csv,export,error,Verarbeitung fehlgeschlagen,PLZ ungültig,23,2025-02-20 22:10:00,,
119,SONSTIGE_ANGEBOTE_TV4_2025_10.csv,ingest,info,Verarbeitung gestartet,,31,2025-07-19 02:09:50,,
120,SONSTIGE_ANGEBOTE_TV17_2024_06.csv,export,info,Verarbeitung gestartet,,,2025-05-08 01:26:50,,2025-09-30 10:49:26
121,PLAN_UMSATZ_TV7_2025_09_korrigiert.csv,export,success,Verarbeitung erfolgreich,,51,2024-12-23 11:47:32,79,
122,TICKET_VERKAEUFE_TV12_2025_09.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,53,2025-10-20 22:39:34,17,
123,PLAN_UMSATZ_TV20_2024_01.csv,aggregate,success,Verarbeitung erfolgreich,,11,2024-10-02 06:49:26,,
124,SONSTIGE_ANGEBOTE_TV13_2024_02_v1.csv,validate,success,Verarbeitung erfolgreich,,33,2025-03-06 09:32:23,12,
125,PLAN_UMSATZ_TV7_2025_06.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,73,2024-06-05 05:55:53,22,2024-09-03 20:59:53
126,TICKET_VERKAEUFE_TV1_2024_10.csv,ingest,success,Verarbeitung erfolgreich,,17,2025-11-03 08:42:20,,2024-11-24 11:39:07
127,PLAN_UMSATZ_TV6_2025_07_final.csv,validate,info,Verarbeitung gestartet,,7,2024-01-27 22:11:23,,
128,SONSTIGE_ANGEBOTE_TV4_2025_06.csv,ingest,error,Verarbeitung fehlgeschlagen,PLZ ungültig,6,2025-02-02 08:54:15,,
129,PLAN_UMSATZ_TV2_2025_03_v1.csv,export,info,Verarbeitung gestartet,,59,2025-07-16 13:34:23,,2024-11-23 02:19:06
130,TICKET_VERKAEUFE_TV12_2025_09.csv,export,info,Verarbeitung gestartet,,69,2024-08-30 11:45:52,,
131,TICKET_VERKAEUFE_TV20_2025_06_korrigiert.csv,validate,info,Verarbeitung gestartet,,37,2024-01-09 11:13:18,64,2024-11-04 17:24:07
132,PLAN_UMSATZ_TV2_2025_03_v1.csv,aggregate,info,Verarbeitung gestartet,,,2024-07-02 23:52:21,31,
133,PLAN_UMSATZ_TV13_2025_11.csv,validate,info,Verarbeitung gestartet,,78,2024-01-22 03:55:06,,
134,PLAN_UMSATZ_TV8_2025_05_final.csv,export,success,Verarbeitung erfolgreich,,49,2024-02-19 17:39:20,,
135,SONSTIGE_ANGEBOTE_TV4_2025_02_v1.csv,export,info,Verarbeitung gestartet,,,2025-08-11 23:10:04,46,
136,TICKET_VERKAEUFE_TV8_2024_04.csv,validate,info,Verarbeitung gestartet,,66,2025-03-29 20:12:01,,
137,TICKET_VERKAEUFE_TV19_2024_01.csv,validate,warning,Verarbeitung mit Warnungen,,3,2025-07-06 05:26:38,,
138,PLAN_UMSATZ_TV9_2024_04_testlauf.csv,aggregate,success,Verarbeitung erfolgreich,,,2024-02-10 15:49:35,14,
139,PLAN_UMSATZ_TV18_2025_05.csv,aggregate,info,Verarbeitung gestartet,,12,2024-12-23 18:42:50,,
140,PLAN_UMSATZ_TV6_2025_07_final.csv,ingest,info,Verarbeitung gestartet,,53,2024-02-13 22:43:11,,
141,SONSTIGE_ANGEBOTE_TV17_2024_06_v1.csv,aggregate,info,Verarbeitung gestartet,,,2025-03-16 02:36:35,,2025-11-15 10:28:46
142,PLAN_UMSATZ_TV3_2024_01_testlauf.csv,validate,info,Verarbeitung gestartet,,45,2024-08-12 00:15:32,,
143,SONSTIGE_ANGEBOTE_TV18_2024_12.csv,ingest,success,Verarbeitung erfolgreich,,,2025-02-03 13:52:28,26,2024-06-16 08:01:48
144,PLAN_UMSATZ_TV20_2025_02.csv,validate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,26,2024-05-16 22:02:17,42,
145,PLAN_UMSATZ_TV2_2025_03_v1.csv,ingest,info,Verarbeitung gestartet,,10,2024-05-11 04:24:31,76,2024-11-02 06:49:31
146,TICKET_VERKAEUFE_TV9_2025_10_final.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,14,2025-05-11 14:34:30,,2024-02-25 06:05:33
147,PLAN_UMSATZ_TV6_2024_01.csv,ingest,info,Verarbeitung gestartet,,59,2024-07-13 11:08:06,46,
148,TICKET_VERKAEUFE_TV6_2025_03.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,41,2025-05-01 20:52:56,,
149,TICKET_VERKAEUFE_TV10_2024_03.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,44,2025-11-23 07:29:28,27,
150,TICKET_VERKAEUFE_TV1_2025_05_korrigiert.csv,ingest,info,Verarbeitung gestartet,,,2025-05-05 13:37:41,66,
151,SONSTIGE_ANGEBOTE_TV15_2025_03_v1.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-01-10 15:39:22,,
152,SONSTIGE_ANGEBOTE_TV13_2025_12_testlauf.csv,validate,success,Verarbeitung erfolgreich,,37,2025-08-11 21:49:11,,2024-08-24 05:33:25
153,PLAN_UMSATZ_TV4_2024_07.csv,validate,info,Verarbeitung gestartet,,43,2024-04-23 09:51:35,,2025-05-26 23:53:57
154,PLAN_UMSATZ_TV20_2025_10_v1.csv,validate,success,Verarbeitung erfolgreich,,4,2024-08-27 18:18:07,66,
155,SONSTIGE_ANGEBOTE_TV8_2025_01.csv,validate,info,Verarbeitung gestartet,,,2024-06-22 00:35:43,,2024-05-13 13:33:52
156,SONSTIGE_ANGEBOTE_TV4_2024_07.csv,validate,info,Verarbeitung gestartet,,14,2025-04-22 12:20:27,8,
157,TICKET_VERKAEUFE_TV11_2024_06.csv,ingest,success,Verarbeitung erfolgreich,,49,2025-03-15 02:39:01,,
158,PLAN_UMSATZ_TV7_2024_09.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,39,2025-12-28 14:30:02,72,
159,SONSTIGE_ANGEBOTE_TV3_2025_08.csv,export,info,Verarbeitung gestartet,,30,2025-05-05 23:53:55,57,2024-06-05 10:30:22
160,PLAN_UMSATZ_TV11_2024_04.csv,validate,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,7,2025-01-27 15:53:22,,2025-04-28 22:08:26
161,PLAN_UMSATZ_TV18_2024_08_korrigiert.csv,export,info,Verarbeitung gestartet,,10,2025-08-17 15:23:09,57,2024-12-07 19:27:01
162,PLAN_UMSATZ_TV12_2025_02_final.csv,ingest,info,Verarbeitung gestartet,,76,2024-08-24 07:46:39,,
163,TICKET_VERKAEUFE_TV6_2025_07_final.csv,export,info,Verarbeitung gestartet,,48,2024-07-05 10:44:25,,
164,PLAN_UMSATZ_TV7_2024_12.csv,ingest,info,Verarbeitung gestartet,,32,2025-01-22 16:24:22,,
165,SONSTIGE_ANGEBOTE_TV9_2025_11_final.csv,ingest,info,Verarbeitung gestartet,,,2025-10-05 06:51:22,,2025-03-22 08:28:09
166,SONSTIGE_ANGEBOTE_TV2_2025_08_v1.csv,aggregate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,28,2025-10-06 17:50:04,,2025-06-26 01:11:31
167,PLAN_UMSATZ_TV8_2024_04.csv,aggregate,info,Verarbeitung gestartet,,46,2025-11-28 15:02:14,,
168,TICKET_VERKAEUFE_TV8_2025_01_testlauf.csv,validate,info,Verarbeitung gestartet,,51,2024-10-02 15:34:38,,
169,PLAN_UMSATZ_TV18_2025_01_final.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,47,2024-04-19 14:35:11,20,
170,SONSTIGE_ANGEBOTE_TV3_2024_08_testlauf.csv,export,info,Verarbeitung gestartet,,21,2025-09-17 04:08:40,48,
171,PLAN_UMSATZ_TV10_2025_10_testlauf.csv,validate,error,Verarbeitung fehlgeschlagen,PLZ ungültig,,2024-03-19 09:37:54,,
172,TICKET_VERKAEUFE_TV2_2024_06_final.csv,aggregate,info,Verarbeitung gestartet,,70,2025-04-28 03:05:17,69,
173,PLAN_UMSATZ_TV17_2025_05.csv,export,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,,2024-07-14 11:56:02,,2024-12-26 15:00:46
174,PLAN_UMSATZ_TV12_2024_02_final.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,72,2024-05-14 00:25:48,,
175,PLAN_UMSATZ_TV8_2024_02_testlauf.csv,ingest,info,Verarbeitung gestartet,,55,2024-06-10 08:18:55,,
176,PLAN_UMSATZ_TV15_2024_08.csv,export,info,Verarbeitung gestartet,,45,2025-09-30 20:15:29,23,
177,SONSTIGE_ANGEBOTE_TV11_2024_11_testlauf.csv,aggregate,error,Verarbeitung fehlgeschlagen,PLZ ungültig,7,2024-06-28 02:35:24,,2025-07-18 09:33:15
178,SONSTIGE_ANGEBOTE_TV19_2025_10_testlauf.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,44,2025-02-19 13:15:20,,
179,SONSTIGE_ANGEBOTE_TV10_2024_05_v1.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,44,2024-03-26 14:17:02,,
180,TICKET_VERKAEUFE_TV12_2024_09_v1.csv,ingest,info,Verarbeitung gestartet,,63,2025-08-18 17:58:44,30,
181,SONSTIGE_ANGEBOTE_TV10_2024_09.csv,validate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,60,2025-05-04 06:27:53,65,
182,PLAN_UMSATZ_TV8_2025_05_final.csv,aggregate,info,Verarbeitung gestartet,,24,2024-11-20 16:18:04,24,2025-07-23 20:26:54
